person_id,first_name,last_name,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,is_active,team_id,from_year,to_year,is_dleague,is_nba,has_played,is_greatest_75
76001,Alaa,Abdelnaby,1968-06-24,Duke,USA,Duke/USA,82,240,5,30,Forward,False,1610612757,1990,1994,False,True,True,False
76003,Kareem,Abdul-Jabbar,1947-04-16,UCLA,USA,UCLA/USA,86,225,20,33,Center,False,1610612747,1969,1988,False,True,True,True
1505,Tariq,Abdul-Wahad,1974-11-03,San Jose State,France,San Jose State/France,78,235,7,9,Forward-Guard,False,1610612758,1997,2003,False,True,True,False
949,Shareef,Abdur-Rahim,1976-12-11,California,USA,California/USA,81,245,13,3,Forward,False,1610612763,1996,2007,False,True,True,False
76005,Tom,Abernethy,1954-05-06,Indiana,USA,Indiana/USA,79,220,5,5,Forward,False,1610612744,1976,1980,False,True,True,False
76006,Forest,Able,1932-07-27,Western Kentucky,USA,Western Kentucky/USA,75,180,1,6,Guard,False,1610612755,1956,1956,False,True,True,False
76007,John,Abramovic,1919-02-09,Salem,USA,Salem/USA,75,195,2,,Forward,False,1610610031,1946,1947,False,True,True,False
203518,Alex,Abrines,1993-08-01,FC Barcelona,Spain,FC Barcelona/Spain,78,200,3,,Guard,False,0,2016,2018,False,True,True,False
1630173,Precious,Achiuwa,1999-09-19,Memphis,Nigeria,Memphis/Nigeria,80,225,3,5,Forward,True,1610612761,2020,2023,False,True,True,False
101165,Alex,Acker,1983-01-21,Pepperdine,USA,Pepperdine/USA,77,185,3,3,Guard,False,1610612746,2005,2008,True,True,True,False
76008,Donald,Ackerman,1930-09-04,Long Island-Brooklyn,USA,Long Island-Brooklyn/USA,72,183,1,,Guard,False,1610612752,1953,1953,False,True,True,False
76009,Mark,Acres,1962-11-15,Oral Roberts,USA,Oral Roberts/USA,83,220,6,42,Center,False,1610612753,1987,1992,False,True,True,False
76010,Charles,Acton,1942-01-11,Hillsdale,USA,Hillsdale/USA,78,210,1,24,Forward,False,1610612745,1967,1967,False,True,True,False
203112,Quincy,Acy,1990-10-06,Baylor,USA,Baylor/USA,79,240,7,,Forward,False,0,2012,2018,True,True,True,False
76011,Alvan,Adams,1954-07-19,Oklahoma,USA,Oklahoma/USA,81,210,13,33,Center,False,1610612756,1975,1987,False,True,True,False
76012,Don,Adams,1947-11-27,Northwestern,USA,Northwestern/USA,79,210,7,10,Forward,False,1610612765,1970,1976,False,True,True,False
200801,Hassan,Adams,1984-06-20,Arizona,USA,Arizona/USA,76,220,2,,Forward,False,0,2006,2008,False,True,True,False
1629121,Jaylen,Adams,1996-05-04,St. Bonaventure,USA,St. Bonaventure/USA,72,225,3,,Guard,False,0,2018,2020,True,True,True,False
203919,Jordan,Adams,1994-07-08,UCLA,USA,UCLA/USA,77,209,3,3,Guard,False,1610612763,2014,2015,True,True,True,False
149,Michael,Adams,1963-01-19,Boston College,USA,Boston College/USA,70,165,11,23,Guard,False,1610612743,1985,1995,False,True,True,False
203500,Steven,Adams,1993-07-20,Pittsburgh,New Zealand,Pittsburgh/New Zealand,83,265,10,4,Center,True,1610612763,2013,2023,False,True,True,False
912,Rafael,Addison,1964-07-22,Syracuse,USA,Syracuse/USA,80,241,6,7,Forward,False,1610612751,1986,1996,False,True,True,False
1628389,Bam,Adebayo,1997-07-18,Kentucky,USA,Kentucky/USA,81,255,6,13,Center-Forward,True,1610612748,2017,2023,False,True,True,False
1629061,Deng,Adel,1997-02-01,Louisville,South Sudan,Louisville/South Sudan,79,200,2,32,Forward,False,1610612739,2018,2018,True,True,True,False
76015,Rick,Adelman,1946-06-16,Loyola-Marymount,USA,Loyola-Marymount/USA,74,175,7,5,Guard,False,1610612757,1968,1974,False,True,True,False
202399,Jeff,Adrien,1986-02-10,Connecticut,USA,Connecticut/USA,,,6,,,False,0,2010,2014,True,True,True,False
201167,Arron,Afflalo,1985-10-15,UCLA,USA,UCLA/USA,77,210,12,4,Guard,False,1610612743,2007,2017,False,True,True,False
1630534,Ochai,Agbaji,2000-04-20,Kansas,USA,Kansas/USA,77,215,1,30,Guard,True,1610612762,2022,2023,True,True,True,False
200772,Maurice,Ager,1984-02-09,Michigan State,USA,Michigan State/USA,77,202,4,,Forward-Guard,False,0,2006,2010,True,True,True,False
76016,Mark,Aguirre,1959-12-10,DePaul,USA,DePaul/USA,78,232,13,7,Forward,False,1610612742,1981,1993,False,True,True,False
201336,Blake,Ahearn,1984-05-27,Missouri State,USA,Missouri State/USA,74,190,4,2,Guard,False,1610612748,2007,2011,True,True,True,False
201582,Alexis,Ajinca,1988-05-06,Hyeres-Toulon,France,Hyeres-Toulon/France,86,248,8,42,Center,False,1610612740,2008,2017,True,True,True,False
76018,Henry,Akin,1944-07-31,Morehead State,USA,Morehead State/USA,82,225,2,10,Center,False,1610612752,1966,1967,False,True,True,False
203006,Josh,Akognon,1986-02-10,California State-Fullerton,USA,California State-Fullerton/USA,71,185,2,10,Guard,False,1610612742,2012,2012,True,True,True,False
1629152,DeVaughn,Akoon-Purcell,1993-06-05,Illinois State,Trinidad and Tobago,Illinois State/Trinidad and Tobago,78,200,2,,Guard-Forward,False,0,2018,2018,True,True,True,False
202374,Solomon,Alabi,1988-03-21,Florida State,Nigeria,Florida State/Nigeria,85,252,3,50,Center,False,1610612761,2010,2011,True,True,True,False
76019,Mark,Alarie,1963-12-11,Duke,USA,Duke/USA,80,217,5,31,Forward,False,1610612764,1986,1990,False,True,True,False
76020,Gary,Alcorn,1936-10-08,Fresno State,USA,Fresno State/USA,81,225,2,24,Center,False,1610612765,1959,1960,False,True,True,False
1630583,Santi,Aldama,2001-01-10,Loyola-Maryland,Spain,Loyola-Maryland/Spain,84,215,2,7,Forward-Center,True,1610612763,2021,2023,True,True,True,False
203128,Furkan,Aldemir,1991-08-09,Galatasaray,Turkey,Galatasaray/Turkey,82,240,2,19,Forward-Center,False,1610612755,2014,2014,False,True,True,False
202332,Cole,Aldrich,1988-10-31,Kansas,USA,Kansas/USA,83,253,9,45,Center,False,1610612752,2010,2017,True,True,True,False
200746,LaMarcus,Aldridge,1985-07-19,University of Texas at Austin,USA,Texas-Austin/USA,83,250,17,21,Center-Forward,False,1610612751,2006,2021,False,True,True,False
1626146,Cliff,Alexander,1995-11-16,Kansas,USA,Kansas/USA,80,240,2,34,Forward,False,1610612757,2015,2015,True,True,True,False
724,Cory,Alexander,1973-06-22,Virginia,USA,Virginia/USA,73,190,8,12,Guard,False,1610612759,1995,2004,False,True,True,False
201570,Joe,Alexander,1986-12-26,West Virginia,USA,West Virginia/USA,80,230,3,20,Forward,False,1610612749,2008,2009,True,True,True,False
1629734,Kyle,Alexander,1996-10-21,Tennessee,Canada,Tennessee/Canada,82,216,2,17,Forward-Center,False,1610612748,2019,2019,True,True,True,False
1630234,Ty-Shon,Alexander,1998-07-16,Creighton,USA,Creighton/USA,75,195,2,0,Guard,False,1610612756,2020,2020,True,True,True,False
2349,Victor,Alexander,1969-08-31,Iowa State,USA,Iowa State/USA,82,265,5,9,Forward,False,1610612744,1991,2001,False,True,True,False
1629638,Nickeil,Alexander-Walker,1998-09-02,Virginia Tech,Canada,Virginia Tech/Canada,77,205,4,9,Guard,True,1610612750,2019,2023,True,True,True,False
76024,Steve,Alford,1964-11-23,Indiana,USA,Indiana/USA,74,183,4,4,Guard,False,1610612742,1987,1990,False,True,True,False
1628959,Rawle,Alkins,1997-10-29,Arizona,USA,Arizona/USA,77,225,2,20,Guard,False,1610612741,2018,2018,True,True,True,False
76028,Bob,Allen,1946-07-17,Marshall,USA,Marshall/USA,81,205,1,50,Forward,False,1610612744,1968,1968,False,True,True,False
1628960,Grayson,Allen,1995-10-08,Duke,USA,Duke/USA,76,198,5,12,Guard,True,1610612749,2018,2023,True,True,True,False
1628386,Jarrett,Allen,1998-04-21,Texas,USA,Texas/USA,81,243,6,31,Center,True,1610612739,2017,2023,False,True,True,False
1628443,Kadeem,Allen,1993-01-15,Arizona,USA,Arizona/USA,73,200,3,,Guard,False,0,2017,2019,True,True,True,False
