person_id,season,round_number,round_pick,overall_pick,draft_type,team_id,organization,organization_type
79299,1947,1,1,1,Draft,7,Texas-El Paso,College/University
78109,1947,1,2,2,Draft,10,Wisconsin,College/University
76649,1947,1,3,3,Draft,1,Purdue,College/University
79302,1947,1,4,4,Draft,8,Connecticut,College/University
77048,1947,1,5,5,Draft,6,Long Island-Brooklyn,College/University
76479,1947,1,6,6,Draft,5,Pennsylvania,College/University
79311,1947,1,7,7,Draft,9,Ohio State,College/University
77088,1947,1,8,8,Draft,2,Ohio State,College/University
77752,1947,1,9,9,Draft,11,Santa Clara,College/University
79321,1947,1,10,10,Draft,12,Vermont,College/University
79314,1947,0,0,0,Draft,10,Oregon,College/University
79315,1947,0,0,0,Draft,11,St. Mary's (MD),College/University
79316,1947,0,0,0,Draft,11,San Francisco,College/University
79317,1947,0,0,0,Draft,12,Toledo,College/University
79318,1947,0,0,0,Draft,12,West Virginia,College/University
79319,1947,0,0,0,Draft,12,High Point,College/University
79320,1947,0,0,0,Draft,12,Vermont,College/University
79322,1947,0,0,0,Draft,12,Houston,College/University
79323,1947,0,0,0,Draft,12,Penn State,College/University
78070,1947,0,0,0,Draft,2,Northwestern,College/University
78185,1947,0,0,0,Draft,2,Minnesota,College/University
78275,1947,0,0,0,Draft,1,DePaul,College/University
77452,1947,0,0,0,Draft,11,Oregon State,College/University
77462,1947,0,0,0,Draft,11,Harvard,College/University
77613,1947,0,0,0,Draft,6,Utah,College/University
77684,1947,0,0,0,Draft,7,Akron,College/University
77686,1947,0,0,0,Draft,9,San Francisco,College/University
78344,1947,0,0,0,Draft,11,Kentucky,College/University
78402,1947,0,0,0,Draft,2,Illinois,College/University
77853,1947,0,0,0,Draft,2,Illinois,College/University
77867,1947,0,0,0,Draft,2,Stanford,College/University
77938,1947,0,0,0,Draft,12,New York University,College/University
77999,1947,0,0,0,Draft,10,Oregon State,College/University
78023,1947,0,0,0,Draft,11,Long Island-Brooklyn,College/University
76407,1947,0,0,0,Draft,11,Wisconsin,College/University
76507,1947,0,0,0,Draft,2,Denver,College/University
76615,1947,0,0,0,Draft,6,William & Mary,College/University
76689,1947,0,0,0,Draft,1,Rhode Island,College/University
76769,1947,0,0,0,Draft,12,DePaul,College/University
76773,1947,0,0,0,Draft,12,Truman State,College/University
79313,1947,0,0,0,Draft,10,Georgia Tech,College/University
79312,1947,0,0,0,Draft,9,Iowa,College/University
77036,1947,0,0,0,Draft,10,Purdue,College/University
77072,1947,0,0,0,Draft,8,Springfield,College/University
78650,1947,0,0,0,Draft,11,George Washington,College/University
79278,1947,0,0,0,Draft,1,,
79279,1947,0,0,0,Draft,1,Northwestern,College/University
79280,1947,0,0,0,Draft,1,Notre Dame,College/University
79281,1947,0,0,0,Draft,1,,
79282,1947,0,0,0,Draft,2,Washington,College/University
79283,1947,0,0,0,Draft,2,West Texas A&M,College/University
79284,1947,0,0,0,Draft,2,Kansas State,College/University
79285,1947,0,0,0,Draft,6,Kansas,College/University
79286,1947,0,0,0,Draft,6,,
79287,1947,0,0,0,Draft,6,Texas Tech,College/University
79288,1947,0,0,0,Draft,6,St. Mary's (CA),College/University
79289,1947,0,0,0,Draft,6,Saint Louis,College/University
79290,1947,0,0,0,Draft,6,Findlay,College/University
79291,1947,0,0,0,Draft,6,Southern Methodist,College/University
79292,1947,0,0,0,Draft,5,Saint Joseph's,College/University
79293,1947,0,0,0,Draft,5,York (PA),College/University
79294,1947,0,0,0,Draft,5,Duke,College/University
79295,1947,0,0,0,Draft,7,Santa Clara,College/University
79296,1947,0,0,0,Draft,7,,
79297,1947,0,0,0,Draft,7,Iowa,College/University
79298,1947,0,0,0,Draft,7,Washington & Jefferson,College/University
79300,1947,0,0,0,Draft,7,DePaul,College/University
79301,1947,0,0,0,Draft,8,,
79303,1947,0,0,0,Draft,8,St. Thomas (MN),College/University
79304,1947,0,0,0,Draft,8,Bates,College/University
79305,1947,0,0,0,Draft,8,St. Mary's (MD),College/University
79306,1947,0,0,0,Draft,8,Hofstra,College/University
79307,1947,0,0,0,Draft,8,Rhode Island,College/University
79308,1947,0,0,0,Draft,9,Louisville,College/University
79309,1947,0,0,0,Draft,9,Oklahoma State,College/University
79310,1947,0,0,0,Draft,9,Wyoming,College/University
77014,1947,0,0,0,Draft,1,Temple,College/University
76161,1947,0,0,0,Draft,1,Long Island-Brooklyn,College/University
78353,1948,1,1,1,Draft,8,Marshall,College/University
79374,1948,1,2,2,Draft,14,Arkansas,College/University
79327,1948,1,3,3,Draft,1,Harvard,College/University
78076,1948,1,4,4,Draft,6,New York University,College/University
77590,1948,1,5,5,Draft,2,DePaul,College/University
76298,1948,1,6,6,Draft,12,Columbia,College/University
79351,1948,1,7,7,Draft,9,Cornell,College/University
78573,1948,1,8,8,Draft,13,Indiana,College/University
79378,1948,1,9,9,Draft,15,California,College/University
78453,1948,1,10,10,Draft,,Seton Hall,College/University
77918,1948,1,11,11,Draft,5,Western Kentucky,College/University
77713,1948,1,12,12,Draft,11,Washington,College/University
