player_id,season,round_number,round_pick,overall_pick,draft_type,team_id,organization,organization_type
79299,1947,1,1,1,Draft,7.0,Texas-El Paso,College/University
78109,1947,1,2,2,Draft,10.0,Wisconsin,College/University
76649,1947,1,3,3,Draft,1.0,Purdue,College/University
79302,1947,1,4,4,Draft,8.0,Connecticut,College/University
77048,1947,1,5,5,Draft,6.0,Long Island-Brooklyn,College/University
76479,1947,1,6,6,Draft,5.0,Pennsylvania,College/University
79311,1947,1,7,7,Draft,9.0,Ohio State,College/University
77088,1947,1,8,8,Draft,2.0,Ohio State,College/University
77752,1947,1,9,9,Draft,11.0,Santa Clara,College/University
79321,1947,1,10,10,Draft,12.0,Vermont,College/University
79314,1947,0,0,0,Draft,10.0,Oregon,College/University
79315,1947,0,0,0,Draft,11.0,St. Mary's (MD),College/University
79316,1947,0,0,0,Draft,11.0,San Francisco,College/University
79317,1947,0,0,0,Draft,12.0,Toledo,College/University
79318,1947,0,0,0,Draft,12.0,West Virginia,College/University
79319,1947,0,0,0,Draft,12.0,High Point,College/University
79320,1947,0,0,0,Draft,12.0,Vermont,College/University
79322,1947,0,0,0,Draft,12.0,Houston,College/University
79323,1947,0,0,0,Draft,12.0,Penn State,College/University
78070,1947,0,0,0,Draft,2.0,Northwestern,College/University
78185,1947,0,0,0,Draft,2.0,Minnesota,College/University
78275,1947,0,0,0,Draft,1.0,DePaul,College/University
77452,1947,0,0,0,Draft,11.0,Oregon State,College/University
77462,1947,0,0,0,Draft,11.0,Harvard,College/University
77613,1947,0,0,0,Draft,6.0,Utah,College/University
77684,1947,0,0,0,Draft,7.0,Akron,College/University
77686,1947,0,0,0,Draft,9.0,San Francisco,College/University
78344,1947,0,0,0,Draft,11.0,Kentucky,College/University
78402,1947,0,0,0,Draft,2.0,Illinois,College/University
77853,1947,0,0,0,Draft,2.0,Illinois,College/University
77867,1947,0,0,0,Draft,2.0,Stanford,College/University
77938,1947,0,0,0,Draft,12.0,New York University,College/University
77999,1947,0,0,0,Draft,10.0,Oregon State,College/University
78023,1947,0,0,0,Draft,11.0,Long Island-Brooklyn,College/University
76407,1947,0,0,0,Draft,11.0,Wisconsin,College/University
76507,1947,0,0,0,Draft,2.0,Denver,College/University
76615,1947,0,0,0,Draft,6.0,William & Mary,College/University
76689,1947,0,0,0,Draft,1.0,Rhode Island,College/University
76769,1947,0,0,0,Draft,12.0,DePaul,College/University
76773,1947,0,0,0,Draft,12.0,Truman State,College/University
79313,1947,0,0,0,Draft,10.0,Georgia Tech,College/University
79312,1947,0,0,0,Draft,9.0,Iowa,College/University
77036,1947,0,0,0,Draft,10.0,Purdue,College/University
77072,1947,0,0,0,Draft,8.0,Springfield,College/University
78650,1947,0,0,0,Draft,11.0,George Washington,College/University
79278,1947,0,0,0,Draft,1.0,,
79279,1947,0,0,0,Draft,1.0,Northwestern,College/University
79280,1947,0,0,0,Draft,1.0,Notre Dame,College/University
79281,1947,0,0,0,Draft,1.0,,
79282,1947,0,0,0,Draft,2.0,Washington,College/University
79283,1947,0,0,0,Draft,2.0,West Texas A&M,College/University
79284,1947,0,0,0,Draft,2.0,Kansas State,College/University
79285,1947,0,0,0,Draft,6.0,Kansas,College/University
79286,1947,0,0,0,Draft,6.0,,
79287,1947,0,0,0,Draft,6.0,Texas Tech,College/University
79288,1947,0,0,0,Draft,6.0,St. Mary's (CA),College/University
79289,1947,0,0,0,Draft,6.0,Saint Louis,College/University
79290,1947,0,0,0,Draft,6.0,Findlay,College/University
79291,1947,0,0,0,Draft,6.0,Southern Methodist,College/University
79292,1947,0,0,0,Draft,5.0,Saint Joseph's,College/University
79293,1947,0,0,0,Draft,5.0,York (PA),College/University
79294,1947,0,0,0,Draft,5.0,Duke,College/University
79295,1947,0,0,0,Draft,7.0,Santa Clara,College/University
79296,1947,0,0,0,Draft,7.0,,
79297,1947,0,0,0,Draft,7.0,Iowa,College/University
79298,1947,0,0,0,Draft,7.0,Washington & Jefferson,College/University
79300,1947,0,0,0,Draft,7.0,DePaul,College/University
79301,1947,0,0,0,Draft,8.0,,
79303,1947,0,0,0,Draft,8.0,St. Thomas (MN),College/University
79304,1947,0,0,0,Draft,8.0,Bates,College/University
79305,1947,0,0,0,Draft,8.0,St. Mary's (MD),College/University
79306,1947,0,0,0,Draft,8.0,Hofstra,College/University
79307,1947,0,0,0,Draft,8.0,Rhode Island,College/University
79308,1947,0,0,0,Draft,9.0,Louisville,College/University
79309,1947,0,0,0,Draft,9.0,Oklahoma State,College/University
79310,1947,0,0,0,Draft,9.0,Wyoming,College/University
77014,1947,0,0,0,Draft,1.0,Temple,College/University
76161,1947,0,0,0,Draft,1.0,Long Island-Brooklyn,College/University
78353,1948,1,1,1,Draft,8.0,Marshall,College/University
79374,1948,1,2,2,Draft,14.0,Arkansas,College/University
79327,1948,1,3,3,Draft,1.0,Harvard,College/University
78076,1948,1,4,4,Draft,6.0,New York University,College/University
77590,1948,1,5,5,Draft,2.0,DePaul,College/University
76298,1948,1,6,6,Draft,12.0,Columbia,College/University
79351,1948,1,7,7,Draft,9.0,Cornell,College/University
78573,1948,1,8,8,Draft,13.0,Indiana,College/University
79378,1948,1,9,9,Draft,15.0,California,College/University
77918,1948,1,11,11,Draft,5.0,Western Kentucky,College/University
77713,1948,1,12,12,Draft,11.0,Washington,College/University
79381,1948,0,0,0,Draft,15.0,Gustavus Adolphus,College/University
79382,1948,0,0,0,Draft,15.0,Southern Illinois,College/University
79380,1948,0,0,0,Draft,15.0,Louisiana State,College/University
79379,1948,0,0,0,Draft,15.0,Denver,College/University
79377,1948,0,0,0,Draft,15.0,Oregon State,College/University
77529,1948,0,0,0,Draft,6.0,Arkansas,College/University
79376,1948,0,0,0,Draft,14.0,Idaho,College/University
77616,1948,0,0,0,Draft,1.0,Sam Houston State,College/University
77769,1948,0,0,0,Draft,15.0,Beloit,College/University
79375,1948,0,0,0,Draft,14.0,North Carolina,College/University
77797,1948,0,0,0,Draft,9.0,Texas Wesleyan,College/University
77801,1948,0,0,0,Draft,11.0,Kentucky,College/University
77841,1948,0,0,0,Draft,6.0,Cornell,College/University
77889,1948,0,0,0,Draft,5.0,Southern Methodist,College/University
77968,1948,0,0,0,Draft,6.0,Eastern Kentucky,College/University
78012,1948,0,0,0,Draft,13.0,Kentucky,College/University
76937,1948,0,0,0,Draft,14.0,Southern California,College/University
76974,1948,0,0,0,Draft,1.0,Tennessee,College/University
77041,1948,0,0,0,Draft,12.0,Kentucky,College/University
77217,1948,0,0,0,Draft,2.0,DePaul,College/University
77226,1948,0,0,0,Draft,11.0,North Carolina State,College/University
77238,1948,0,0,0,Draft,1.0,New York University,College/University
77303,1948,0,0,0,Draft,14.0,Georgetown,College/University
77309,1948,0,0,0,Draft,12.0,Georgetown,College/University
77310,1948,0,0,0,Draft,12.0,Rider,College/University
77425,1948,0,0,0,Draft,14.0,New York University,College/University
76306,1948,0,0,0,Draft,9.0,Illinois,College/University
76359,1948,0,0,0,Draft,12.0,Texas A&M-Commerce,College/University
76414,1948,0,0,0,Draft,8.0,Louisville,College/University
76438,1948,0,0,0,Draft,13.0,Wisconsin,College/University
76571,1948,0,0,0,Draft,2.0,North Carolina,College/University
76711,1948,0,0,0,Draft,15.0,Utah,College/University
76773,1948,0,0,0,Draft,6.0,Truman State,College/University
76778,1948,0,0,0,Draft,15.0,DePauw,College/University
76808,1948,0,0,0,Draft,15.0,Western Kentucky,College/University
76080,1948,0,0,0,Draft,1.0,Fordham,College/University
76155,1948,0,0,0,Draft,6.0,Marquette,College/University
79373,1948,0,0,0,Draft,14.0,North Carolina,College/University
79372,1948,0,0,0,Draft,14.0,Louisiana State,College/University
78141,1948,0,0,0,Draft,6.0,Ohio,College/University
78225,1948,0,0,0,Draft,2.0,Western Kentucky,College/University
78434,1948,0,0,0,Draft,8.0,Brigham Young,College/University
78483,1948,0,0,0,Draft,14.0,Rice,College/University
78521,1948,0,0,0,Draft,13.0,Iowa,College/University
78525,1948,0,0,0,Draft,9.0,Saint Louis,College/University
79324,1948,0,0,0,Draft,1.0,Oregon State,College/University
79325,1948,0,0,0,Draft,1.0,Holy Cross,College/University
79326,1948,0,0,0,Draft,1.0,Colgate,College/University
79328,1948,0,0,0,Draft,1.0,Denver,College/University
79329,1948,0,0,0,Draft,1.0,Texas Wesleyan,College/University
79330,1948,0,0,0,Draft,1.0,Iowa State,College/University
79331,1948,0,0,0,Draft,2.0,Loras,College/University
79332,1948,0,0,0,Draft,2.0,Wisconsin,College/University
79333,1948,0,0,0,Draft,2.0,Murray State,College/University
79334,1948,0,0,0,Draft,2.0,Wheaton (IL),College/University
79335,1948,0,0,0,Draft,2.0,Siena,College/University
79336,1948,0,0,0,Draft,6.0,West Virginia,College/University
79337,1948,0,0,0,Draft,6.0,East Central,College/University
79338,1948,0,0,0,Draft,6.0,California-Los Angeles,College/University
79339,1948,0,0,0,Draft,5.0,Maryland,College/University
79340,1948,0,0,0,Draft,5.0,Louisville,College/University
79341,1948,0,0,0,Draft,5.0,Brigham Young,College/University
79342,1948,0,0,0,Draft,5.0,Pepperdine,College/University
79343,1948,0,0,0,Draft,5.0,Kansas Wesleyan,College/University
79344,1948,0,0,0,Draft,5.0,Akron,College/University
79345,1948,0,0,0,Draft,5.0,California,College/University
79346,1948,0,0,0,Draft,8.0,Oklahoma State,College/University
79347,1948,0,0,0,Draft,8.0,Trinity (TX),College/University
79348,1948,0,0,0,Draft,8.0,Arizona State,College/University
79349,1948,0,0,0,Draft,8.0,Kansas,College/University
79350,1948,0,0,0,Draft,9.0,Drake,College/University
79352,1948,0,0,0,Draft,9.0,Dickinson,College/University
79353,1948,0,0,0,Draft,9.0,Washington (MO),College/University
79354,1948,0,0,0,Draft,9.0,Saint Louis,College/University
79355,1948,0,0,0,Draft,11.0,Oregon,College/University
79356,1948,0,0,0,Draft,11.0,San Jose State,College/University
79357,1948,0,0,0,Draft,11.0,Missouri,College/University
79358,1948,0,0,0,Draft,11.0,Louisiana Tech,College/University
79359,1948,0,0,0,Draft,11.0,Sam Houston State,College/University
79360,1948,0,0,0,Draft,11.0,Arkansas,College/University
79361,1948,0,0,0,Draft,12.0,Occidental,College/University
79362,1948,0,0,0,Draft,12.0,West Virginia,College/University
79363,1948,0,0,0,Draft,12.0,Newberry,College/University
79364,1948,0,0,0,Draft,12.0,Wittenberg,College/University
79365,1948,0,0,0,Draft,12.0,Arkansas State,College/University
79366,1948,0,0,0,Draft,12.0,Lebanon Valley,College/University
79367,1948,0,0,0,Draft,12.0,Washington State,College/University
79368,1948,0,0,0,Draft,12.0,American International,College/University
79369,1948,0,0,0,Draft,12.0,Moravian,College/University
79370,1948,0,0,0,Draft,13.0,Arizona,College/University
79371,1948,0,0,0,Draft,14.0,Oregon,College/University
76270,1948,0,0,0,Draft,12.0,Humboldt State,College/University
78124,1949,1,1,1,Draft,8.0,Kansas State,College/University
76897,1949,1,2,2,Draft,20.0,Kentucky,College/University
76959,1949,1,3,3,Draft,13.0,Oklahoma State,College/University
77346,1949,1,4,4,Draft,1.0,Yale,College/University
76779,1949,1,5,5,Draft,5.0,Utah,College/University
77392,1949,1,6,6,Draft,12.0,Wyoming,College/University
77537,1949,1,7,7,Draft,6.0,St. John's (NY),College/University
77199,1949,1,8,8,Draft,11.0,Kentucky,College/University
77249,1949,1,9,9,Draft,2.0,Loyola-Chicago,College/University
79406,1949,0,0,0,Draft,9.0,Stanford,College/University
79407,1949,0,0,0,Draft,9.0,Nebraska,College/University
79408,1949,0,0,0,Draft,9.0,Northwestern Oklahoma State,College/University
79409,1949,0,0,0,Draft,9.0,Missouri State,College/University
79410,1949,0,0,0,Draft,11.0,George Washington,College/University
79411,1949,0,0,0,Draft,11.0,Loyola-Maryland,College/University
79412,1949,2,0,0,Draft,11.0,Baylor,College/University
79413,1949,0,0,0,Draft,12.0,Drake,College/University
79414,1949,0,0,0,Draft,12.0,St. Francis Brooklyn,College/University
79415,1949,0,0,0,Draft,12.0,Xavier,College/University
79416,1949,0,0,0,Draft,12.0,Kenyon,College/University
79417,1949,0,0,0,Draft,12.0,Oregon,College/University
79418,1949,0,0,0,Draft,12.0,Lafayette,College/University
79419,1949,0,0,0,Draft,13.0,Toledo,College/University
79420,1949,0,0,0,Draft,20.0,Butler,College/University
79421,1949,0,0,0,Draft,20.0,Notre Dame,College/University
79422,1949,0,0,0,Draft,20.0,Oklahoma State,College/University
78033,1949,8,0,0,Draft,8.0,Indiana State,College/University
76962,1949,0,0,0,Draft,15.0,Michigan,College/University
77218,1949,2,0,0,Draft,1.0,Holy Cross,College/University
77285,1949,8,0,0,Draft,1.0,Indiana State,College/University
77366,1949,3,0,0,Draft,8.0,Dartmouth,College/University
76452,1949,5,0,0,Draft,8.0,Georgetown,College/University
76580,1949,5,0,0,Draft,9.0,Truman State,College/University
76585,1949,2,0,0,Draft,6.0,Muhlenberg,College/University
76636,1949,3,0,0,Draft,2.0,Illinois,College/University
76687,1949,4,0,0,Draft,20.0,Butler,College/University
79405,1949,0,0,0,Draft,9.0,Oregon State,College/University
79404,1949,0,0,0,Draft,8.0,DePaul,College/University
78074,1949,0,0,0,Draft,9.0,Saint Louis,College/University
78075,1949,3,0,0,Draft,13.0,West Virginia,College/University
78405,1949,3,0,0,Draft,6.0,Colgate,College/University
78447,1949,0,0,0,Draft,15.0,Tennessee,College/University
77429,1949,0,0,0,Territorial,9.0,Saint Louis,College/University
77593,1949,0,0,0,Territorial,15.0,Hamline,College/University
77659,1949,3,0,0,Draft,1.0,Holy Cross,College/University
77683,1949,4,0,0,Draft,13.0,Loyola-Chicago,College/University
77724,1949,2,0,0,Draft,5.0,Georgia Tech,College/University
77758,1949,2,0,0,Draft,13.0,Western Kentucky,College/University
77769,1949,2,0,0,Draft,9.0,Beloit,College/University
77779,1949,3,0,0,Draft,20.0,Bowling Green,College/University
77834,1949,4,0,0,Draft,8.0,Tulane,College/University
77887,1949,7,0,0,Draft,9.0,Drake,College/University
76098,1949,5,0,0,Draft,11.0,Kentucky,College/University
76110,1949,2,0,0,Draft,20.0,Notre Dame,College/University
76131,1949,2,0,0,Draft,2.0,Kentucky,College/University
76190,1949,3,0,0,Draft,5.0,Temple,College/University
76214,1949,6,0,0,Draft,20.0,Western Michigan,College/University
79389,1949,0,0,0,Draft,1.0,Denver Junior College,College/University
79390,1949,0,0,0,Draft,1.0,Bates,College/University
79391,1949,0,0,0,Draft,1.0,Bowling Green,College/University
79392,1949,0,0,0,Draft,1.0,Rice,College/University
79393,1949,0,0,0,Draft,1.0,Washington,College/University
79394,1949,0,0,0,Draft,1.0,Colby,College/University
79395,1949,0,0,0,Draft,1.0,Brigham Young,College/University
79396,1949,0,0,0,Draft,6.0,Notre Dame,College/University
79397,1949,0,0,0,Draft,6.0,Arkansas,College/University
79398,1949,0,0,0,Draft,6.0,Missouri Valley,College/University
79399,1949,0,0,0,Draft,6.0,Emporia State,College/University
79400,1949,0,0,0,Draft,6.0,Southern Methodist,College/University
79401,1949,0,0,0,Draft,8.0,Oklahoma,College/University
79402,1949,0,0,0,Draft,8.0,Alabama,College/University
79403,1949,0,0,0,Draft,8.0,Florida,College/University
76835,1949,3,0,0,Draft,12.0,Notre Dame,College/University
78125,1950,1,1,1,Draft,1.0,Bowling Green,College/University
77933,1950,1,2,2,Draft,12.0,Wisconsin,College/University
600003,1950,1,3,3,Draft,18.0,Holy Cross,College/University
78086,1950,1,4,4,Draft,11.0,Ohio State,College/University
76744,1950,1,5,5,Draft,2.0,La Salle,College/University
79437,1950,1,6,6,Draft,6.0,City College of New York,College/University
78628,1950,1,7,7,Draft,13.0,Stanford,College/University
77347,1950,1,8,8,Draft,20.0,Western Kentucky,College/University
77773,1950,1,10,10,Draft,15.0,Notre Dame,College/University
77402,1950,1,11,11,Draft,21.0,San Francisco,College/University
79487,1950,8,0,0,Draft,20.0,Indiana,College/University
79486,1950,9,0,0,Draft,20.0,Texas Christian,College/University
79485,1950,4,0,0,Draft,20.0,Kentucky,College/University
79484,1950,11,0,0,Draft,20.0,Butler,College/University
79483,1950,10,0,0,Draft,20.0,Georgia Tech,College/University
79482,1950,5,0,0,Draft,20.0,Morehead State,College/University
77441,1950,5,0,0,Draft,12.0,City College of New York,College/University
79473,1950,3,0,0,Draft,15.0,Purdue,College/University
79472,1950,9,0,0,Draft,15.0,Swarthmore,College/University
79471,1950,2,0,0,Draft,15.0,Hamline,College/University
79470,1950,6,0,0,Draft,15.0,Oklahoma,College/University
79469,1950,10,0,0,Draft,15.0,Purdue,College/University
79468,1950,8,0,0,Draft,15.0,Wisconsin-River Falls,College/University
79467,1950,5,0,0,Draft,13.0,Kent State,College/University
79466,1950,4,0,0,Draft,13.0,Indiana State,College/University
79465,1950,6,0,0,Draft,13.0,Valparaiso,College/University
79464,1950,7,0,0,Draft,13.0,Tennessee,College/University
79488,1950,2,0,0,Draft,20.0,Bradley,College/University
79489,1950,7,0,0,Draft,21.0,Akron,College/University
79490,1950,3,0,0,Draft,21.0,Southern California,College/University
79491,1950,8,0,0,Draft,21.0,Georgia,College/University
