id,first_name,last_name,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey_number,position,is_active,from_year,to_year,is_d_league,is_nba,has_played,is_greatest_75,team_id
76001,Alaa,Abdelnaby,1968-06-24,Duke,USA,Duke/USA,82.0,240.0,5,30,Forward,False,1990.0,1994.0,False,True,True,False,42
76003,Kareem,Abdul-Jabbar,1947-04-16,UCLA,USA,UCLA/USA,86.0,225.0,20,33,Center,False,1969.0,1988.0,False,True,True,True,6
1505,Tariq,Abdul-Wahad,1974-11-03,San Jose State,France,San Jose State/France,78.0,235.0,7,9,Forward-Guard,False,1997.0,2003.0,False,True,True,False,15
949,Shareef,Abdur-Rahim,1976-12-11,California,USA,California/USA,81.0,245.0,13,3,Forward,False,1996.0,2007.0,False,True,True,False,16
76005,Tom,Abernethy,1954-05-06,Indiana,USA,Indiana/USA,79.0,220.0,5,5,Forward,False,1976.0,1980.0,False,True,True,False,34
76006,Forest,Able,1932-07-27,Western Kentucky,USA,Western Kentucky/USA,75.0,180.0,1,6,Guard,False,1956.0,1956.0,False,True,True,False,28
76007,John,Abramovic,1919-02-09,Salem,USA,Salem/USA,75.0,195.0,2,,Forward,False,1946.0,1947.0,False,True,True,False,43
203518,Alex,Abrines,1993-08-01,FC Barcelona,Spain,FC Barcelona/Spain,78.0,200.0,3,,Guard,False,2016.0,2018.0,False,True,True,False,31
1630173,Precious,Achiuwa,1999-09-19,Memphis,Nigeria,Memphis/Nigeria,80.0,225.0,3,5,Forward,True,2020.0,2023.0,False,True,True,False,31
101165,Alex,Acker,1983-01-21,Pepperdine,USA,Pepperdine/USA,77.0,185.0,3,3,Guard,False,2005.0,2008.0,True,True,True,False,35
76008,Donald,Ackerman,1930-09-04,Long Island-Brooklyn,USA,Long Island-Brooklyn/USA,72.0,183.0,1,,Guard,False,1953.0,1953.0,False,True,True,False,28
76009,Mark,Acres,1962-11-15,Oral Roberts,USA,Oral Roberts/USA,83.0,220.0,6,42,Center,False,1987.0,1992.0,False,True,True,False,30
76010,Charles,Acton,1942-01-11,Hillsdale,USA,Hillsdale/USA,78.0,210.0,1,24,Forward,False,1967.0,1967.0,False,True,True,False,36
203112,Quincy,Acy,1990-10-06,Baylor,USA,Baylor/USA,79.0,240.0,7,,Forward,False,2012.0,2018.0,True,True,True,False,21
76011,Alvan,Adams,1954-07-19,Oklahoma,USA,Oklahoma/USA,81.0,210.0,13,33,Center,False,1975.0,1987.0,False,True,True,False,35
76012,Don,Adams,1947-11-27,Northwestern,USA,Northwestern/USA,79.0,210.0,7,10,Forward,False,1970.0,1976.0,False,True,True,False,44
200801,Hassan,Adams,1984-06-20,Arizona,USA,Arizona/USA,76.0,220.0,2,,Forward,False,2006.0,2008.0,False,True,True,False,27
1629121,Jaylen,Adams,1996-05-04,St. Bonaventure,USA,St. Bonaventure/USA,72.0,225.0,3,,Guard,False,2018.0,2020.0,True,True,True,False,5
203919,Jordan,Adams,1994-07-08,UCLA,USA,UCLA/USA,77.0,209.0,3,3,Guard,False,2014.0,2015.0,True,True,True,False,13
149,Michael,Adams,1963-01-19,Boston College,USA,Boston College/USA,70.0,165.0,11,23,Guard,False,1985.0,1995.0,False,True,True,False,1
203500,Steven,Adams,1993-07-20,Pittsburgh,New Zealand,Pittsburgh/New Zealand,83.0,265.0,10,4,Center,True,2013.0,2023.0,False,True,True,False,5
912,Rafael,Addison,1964-07-22,Syracuse,USA,Syracuse/USA,80.0,241.0,6,7,Forward,False,1986.0,1996.0,False,True,True,False,16
1628389,Bam,Adebayo,1997-07-18,Kentucky,USA,Kentucky/USA,81.0,255.0,6,13,Center-Forward,True,2017.0,2023.0,False,True,True,False,1
1629061,Deng,Adel,1997-02-01,Louisville,South Sudan,Louisville/South Sudan,79.0,200.0,2,32,Forward,False,2018.0,2018.0,True,True,True,False,34
76015,Rick,Adelman,1946-06-16,Loyola-Marymount,USA,Loyola-Marymount/USA,74.0,175.0,7,5,Guard,False,1968.0,1974.0,False,True,True,False,39
202399,Jeff,Adrien,1986-02-10,Connecticut,USA,Connecticut/USA,,,6,,,False,2010.0,2014.0,True,True,True,False,36
201167,Arron,Afflalo,1985-10-15,UCLA,USA,UCLA/USA,77.0,210.0,12,4,Guard,False,2007.0,2017.0,False,True,True,False,37
1630534,Ochai,Agbaji,2000-04-20,Kansas,USA,Kansas/USA,77.0,215.0,1,30,Guard,True,2022.0,2023.0,True,True,True,False,45
200772,Maurice,Ager,1984-02-09,Michigan State,USA,Michigan State/USA,77.0,202.0,4,,Forward-Guard,False,2006.0,2010.0,True,True,True,False,28
76016,Mark,Aguirre,1959-12-10,DePaul,USA,DePaul/USA,78.0,232.0,13,7,Forward,False,1981.0,1993.0,False,True,True,False,34
201336,Blake,Ahearn,1984-05-27,Missouri State,USA,Missouri State/USA,74.0,190.0,4,2,Guard,False,2007.0,2011.0,True,True,True,False,18
201582,Alexis,Ajinca,1988-05-06,Hyeres-Toulon,France,Hyeres-Toulon/France,86.0,248.0,8,42,Center,False,2008.0,2017.0,True,True,True,False,32
76018,Henry,Akin,1944-07-31,Morehead State,USA,Morehead State/USA,82.0,225.0,2,10,Center,False,1966.0,1967.0,False,True,True,False,39
203006,Josh,Akognon,1986-02-10,California State-Fullerton,USA,California State-Fullerton/USA,71.0,185.0,2,10,Guard,False,2012.0,2012.0,True,True,True,False,6
1629152,DeVaughn,Akoon-Purcell,1993-06-05,Illinois State,Trinidad and Tobago,Illinois State/Trinidad and Tobago,78.0,200.0,2,,Guard-Forward,False,2018.0,2018.0,True,True,True,False,6
202374,Solomon,Alabi,1988-03-21,Florida State,Nigeria,Florida State/Nigeria,85.0,252.0,3,50,Center,False,2010.0,2011.0,True,True,True,False,16
76019,Mark,Alarie,1963-12-11,Duke,USA,Duke/USA,80.0,217.0,5,31,Forward,False,1986.0,1990.0,False,True,True,False,33
76020,Gary,Alcorn,1936-10-08,Fresno State,USA,Fresno State/USA,81.0,225.0,2,24,Center,False,1959.0,1960.0,False,True,True,False,27
1630583,Santi,Aldama,2001-01-10,Loyola-Maryland,Spain,Loyola-Maryland/Spain,84.0,215.0,2,7,Forward-Center,True,2021.0,2023.0,True,True,True,False,28
203128,Furkan,Aldemir,1991-08-09,Galatasaray,Turkey,Galatasaray/Turkey,82.0,240.0,2,19,Forward-Center,False,2014.0,2014.0,False,True,True,False,40
