id,player_id,name,season,round_number,round_pick,overall_pick,draft_type,team_id,organization,organization_type
61310,1629028,"Deandre Ayton",2018,1,1,1,Draft,29,Arizona,College/University
61311,1629029,"Luka Doncic",2018,1,3,3,Draft,18,"Real Madrid Baloncesto (Spain)","Other Team/Club"
61312,1628991,"Jaren Jackson Jr.",2018,1,4,4,Draft,43,"Michigan State",College/University
61313,1629027,"Trae Young",2018,1,5,5,Draft,38,Oklahoma,College/University
61314,1628964,"Mo Bamba",2018,1,6,6,Draft,42,Texas,College/University
61315,1628976,"Wendell Carter Jr.",2018,1,7,7,Draft,25,Duke,College/University
61316,1629012,"Collin Sexton",2018,1,8,8,Draft,30,Alabama,College/University
61317,1628995,"Kevin Knox II",2018,1,9,9,Draft,6,Kentucky,College/University
61318,1628969,"Mikal Bridges",2018,1,10,10,Draft,21,Villanova,College/University
61319,1628983,"Shai Gilgeous-Alexander",2018,1,11,11,Draft,39,Kentucky,College/University
61320,1629008,"Michael Porter Jr.",2018,1,14,14,Draft,35,Missouri,College/University
61321,1628972,"Troy Brown Jr.",2018,1,15,15,Draft,24,Oregon,College/University
61322,1629015,"Zhaire Smith",2018,1,16,16,Draft,29,"Texas Tech",College/University
61323,1628978,"Donte DiVincenzo",2018,1,17,17,Draft,28,Villanova,College/University
61324,1629022,"Lonnie Walker IV",2018,1,18,18,Draft,37,"Miami (FL)",College/University
61325,1628989,"Kevin Huerter",2018,1,19,19,Draft,18,Maryland,College/University
61326,1629006,"Josh Okogie",2018,1,20,20,Draft,41,"Georgia Tech",College/University
61327,1628960,"Grayson Allen",2018,1,21,21,Draft,33,Duke,College/University
61328,1628990,"Chandler Hutchison",2018,1,22,22,Draft,25,"Boise State",College/University
61329,1628988,"Aaron Holiday",2018,1,23,23,Draft,36,"California-Los Angeles",College/University
61330,1629014,"Anfernee Simons",2018,1,24,24,Draft,32,"IMG Academy","High School"
61331,1629021,"Moritz Wagner",2018,1,25,25,Draft,15,Michigan,College/University
61332,1629013,"Landry Shamet",2018,1,26,26,Draft,21,"Wichita State",College/University
61333,1629057,"Robert Williams III",2018,1,27,27,Draft,1,"Texas A&M",College/University
61334,1628980,"Jacob Evans",2018,1,28,28,Draft,5,Cincinnati,College/University
61335,1629058,"Dzanan Musa",2018,1,29,29,Draft,34,"KK Cedevita (Croatia)","Other Team/Club"
61336,1629016,"Omari Spellman",2018,1,30,30,Draft,18,Villanova,College/University
61337,1629059,"Elie Okobo",2018,2,1,31,Draft,29,"Elan Bearnais Pau-Orthez (France)","Other Team/Club"
61338,1628975,"Jevon Carter",2018,2,2,32,Draft,43,"West Virginia",College/University
61339,1628973,"Jalen Brunson",2018,2,3,33,Draft,38,Villanova,College/University
61340,1628984,"Devonte' Graham",2018,2,4,34,Draft,18,Kansas,College/University
61341,1628982,"Melvin Frazier Jr.",2018,2,5,35,Draft,42,Tulane,College/University
61342,1629011,"Mitchell Robinson",2018,2,6,36,Draft,6,NULL,NULL
61343,1629017,"Khyri Thomas",2018,2,8,38,Draft,21,Creighton,College/University
61344,1629067,"Isaac Bonga",2018,2,9,39,Draft,21,"Fraport Skyliners (Germany)","Other Team/Club"
61345,1629066,"Rodions Kurucs",2018,2,10,40,Draft,34,"FC Barcelona Basquet (Spain)","Other Team/Club"
61346,1629020,"Jarred Vanderbilt",2018,2,11,41,Draft,42,Kentucky,College/University
61347,1628971,"Bruce Brown",2018,2,12,42,Draft,13,"Miami (FL)",College/University
61348,1628992,"Justin Jackson",2018,2,13,43,Draft,35,Maryland,College/University
61349,1629068,"Issuf Sanon",2018,2,14,44,Draft,24,"KK Olimpija (Slovenia)","Other Team/Club"
61350,1628977,"Hamidou Diallo",2018,2,15,45,Draft,34,Kentucky,College/University
61351,1629001,"De'Anthony Melton",2018,2,16,46,Draft,31,"Southern California",College/University
61352,1629004,"Svi Mykhailiuk",2018,2,17,47,Draft,15,Kansas,College/University
61353,1628966,"Keita Bates-Diop",2018,2,18,48,Draft,41,"Ohio State",College/University
61354,1629002,"Chimezie Metu",2018,2,19,49,Draft,28,"Southern California",College/University
61355,1628993,"Alize Johnson",2018,2,20,50,Draft,36,"Missouri State",College/University
61356,1628974,"Tony Carr",2018,2,21,51,Draft,45,"Penn State",College/University
61357,1629053,"Vincent Edwards",2018,2,22,52,Draft,33,Purdue,College/University
61358,1628985,"Devon Hall",2018,2,23,53,Draft,27,Virginia,College/University
61359,1629003,"Shake Milton",2018,2,24,54,Draft,38,"Southern Methodist",College/University
61360,1629083,"Arnoldas Kulboka",2018,2,25,55,Draft,39,"Brose Bamberg (Germany)","Other Team/Club"
61361,1629034,"Ray Spalding",2018,2,26,56,Draft,21,Louisville,College/University
61362,1628987,"Kevin Hervey",2018,2,27,57,Draft,27,Texas-Arlington,College/University
61363,1629118,"Thomas Welsh",2018,2,28,58,Draft,35,"California-Los Angeles",College/University
61364,1628994,"George King",2018,2,29,59,Draft,29,Colorado,College/University
61365,1628961,"Kostas Antetokounmpo",2018,2,30,60,Draft,21,Dayton,College/University
61366,1629627,"Zion Williamson",2019,1,1,1,Draft,45,Duke,College/University
61367,1629630,"Ja Morant",2019,1,2,2,Draft,43,"Murray State",College/University
61368,1629628,"RJ Barrett",2019,1,3,3,Draft,6,Duke,College/University
61369,1629631,"De'Andre Hunter",2019,1,4,4,Draft,15,Virginia,College/University
61370,1629636,"Darius Garland",2019,1,5,5,Draft,30,Vanderbilt,College/University
61371,1629633,"Jarrett Culver",2019,1,6,6,Draft,29,"Texas Tech",College/University
61372,1629632,"Coby White",2019,1,7,7,Draft,25,"North Carolina",College/University
61373,1629637,"Jaxson Hayes",2019,1,8,8,Draft,18,Texas,College/University
61374,1629060,"Rui Hachimura",2019,1,9,9,Draft,24,Gonzaga,College/University
61375,1629629,"Cam Reddish",2019,1,10,10,Draft,18,Duke,College/University
61376,1629661,"Cameron Johnson",2019,1,11,11,Draft,41,"North Carolina",College/University
61377,1629023,"P.J. Washington",2019,1,12,12,Draft,39,Kentucky,College/University
61378,1629639,"Tyler Herro",2019,1,13,13,Draft,40,Kentucky,College/University
61379,1629641,"Romeo Langford",2019,1,14,14,Draft,1,Indiana,College/University
61380,1629635,"Sekou Doumbouya",2019,1,15,15,Draft,13,"Limoges CSP (France)","Other Team/Club"
61381,1629643,"Chuma Okeke",2019,1,16,16,Draft,42,Auburn,College/University
61382,1629638,"Nickeil Alexander-Walker",2019,1,17,17,Draft,34,"Virginia Tech",College/University
61383,1629048,"Goga Bitadze",2019,1,18,18,Draft,36,"KK Mega Leks (Serbia)","Other Team/Club"
61384,1629677,"Luka Samanic",2019,1,19,19,Draft,37,"KK Olimpija (Slovenia)","Other Team/Club"
61385,1629680,"Matisse Thybulle",2019,1,20,20,Draft,1,Washington,College/University
61386,1629634,"Brandon Clarke",2019,1,21,21,Draft,27,Gonzaga,College/University
61387,1629684,"Grant Williams",2019,1,22,22,Draft,1,Tennessee,College/University
61388,1629647,"Darius Bazley",2019,1,23,23,Draft,33,Princeton,"High School"
61389,1629660,"Ty Jerome",2019,1,24,24,Draft,21,Virginia,College/University
61390,1629642,"Nassir Little",2019,1,25,25,Draft,32,"North Carolina",College/University
61391,1629685,"Dylan Windler",2019,1,26,26,Draft,30,Belmont,College/University
61392,1629662,"Mfiondu Kabengele",2019,1,27,27,Draft,34,"Florida State",College/University
61393,1629673,"Jordan Poole",2019,1,28,28,Draft,5,Michigan,College/University
61394,1629640,"Keldon Johnson",2019,1,29,29,Draft,37,Kentucky,College/University
61395,1629645,"Kevin Porter Jr.",2019,1,30,30,Draft,28,"Southern California",College/University
61396,1629651,"Nic Claxton",2019,2,1,31,Draft,34,Georgia,College/University
61397,1629644,"KZ Okpala",2019,2,2,32,Draft,29,Stanford,College/University
61398,1629035,"Carsen Edwards",2019,2,3,33,Draft,21,Purdue,College/University
61399,1628981,"Bruno Fernando",2019,2,4,34,Draft,21,Maryland,College/University
61400,1629712,"Didi Louzada",2019,2,5,35,Draft,18,"Sesi Franca (Brazil)","Other Team/Club"
61401,1628998,"Cody Martin",2019,2,6,36,Draft,39,"North Carolina State",College/University
61402,1629686,"Deividas Sirvydis",2019,2,7,37,Draft,38,"BC Lietuvos rytas (Lithuania)","Other Team/Club"
61403,1629655,"Daniel Gafford",2019,2,8,38,Draft,25,Arkansas,College/University
61404,1629346,"Alen Smailagic",2019,2,9,39,Draft,45,"Santa Cruz (G League)","Other Team/Club"
61405,1629672,"Eric Paschall",2019,2,11,41,Draft,5,Villanova,College/University
61406,1629678,"Admiral Schofield",2019,2,12,42,Draft,21,Tennessee,College/University
61407,1629669,"Jaylen Nowell",2019,2,13,43,Draft,41,Washington,College/University
61408,1629626,"Bol Bol",2019,2,14,44,Draft,40,Oregon,College/University
61409,1629676,"Isaiah Roby",2019,2,15,45,Draft,13,Nebraska,College/University
61410,1629659,"Talen Horton-Tucker",2019,2,16,46,Draft,42,"Iowa State",College/University
61411,1629683,"Quinndary Weatherspoon",2019,2,19,49,Draft,37,"Mississippi State",College/University
61412,1629714,"Jarrell Brantley",2019,2,20,50,Draft,36,"College of Charleston",College/University
61413,1629682,"Tremont Waters",2019,2,21,51,Draft,1,"Louisiana State",College/University
61414,1629667,"Jalen McDaniels",2019,2,22,52,Draft,39,"San Diego",College/University
61415,1629625,"Justin Wright-Foreman",2019,2,23,53,Draft,33,Hofstra,College/University
61416,1629621,"Marial Shayok",2019,2,24,54,Draft,21,Virginia,College/University
61417,1629657,"Kyle Guy",2019,2,25,55,Draft,6,Virginia,College/University
61418,1629648,"Jordan Bone",2019,2,27,57,Draft,45,Tennessee,College/University
61419,1629671,"Miye Oni",2019,2,28,58,Draft,5,Yale,College/University
61420,1629608,"Dewan Hernandez",2019,2,29,59,Draft,44,"Miami (FL)",College/University
61421,1630162,"Anthony Edwards",2020,1,1,1,Draft,41,Georgia,College/University
61422,1630164,"James Wiseman",2020,1,2,2,Draft,5,Memphis,College/University
61423,1630163,"LaMelo Ball",2020,1,3,3,Draft,39,"Illawarra (Australia)","Other Team/Club"
61424,1630172,"Patrick Williams",2020,1,4,4,Draft,25,"Florida State",College/University
61425,1630171,"Isaac Okoro",2020,1,5,5,Draft,30,Auburn,College/University
61426,1630168,"Onyeka Okongwu",2020,1,6,6,Draft,18,"Southern California",College/University
61427,1630165,"Killian Hayes",2020,1,7,7,Draft,13,"Ratiopharm Ulm (Germany)","Other Team/Club"
61428,1630167,"Obi Toppin",2020,1,8,8,Draft,6,Dayton,College/University
61429,1630166,"Deni Avdija",2020,1,9,9,Draft,24,"Maccabi Tel Aviv B.C. (Israel)","Other Team/Club"
61430,1630188,"Jalen Smith",2020,1,10,10,Draft,29,Maryland,College/University
61431,1630170,"Devin Vassell",2020,1,11,11,Draft,37,"Florida State",College/University
61432,1630184,"Kira Lewis Jr.",2020,1,13,13,Draft,45,Alabama,College/University
61433,1630174,"Aaron Nesmith",2020,1,14,14,Draft,1,Vanderbilt,College/University
61434,1630175,"Cole Anthony",2020,1,15,15,Draft,42,"North Carolina",College/University
61435,1630191,"Isaiah Stewart",2020,1,16,16,Draft,32,Washington,College/University
61436,1630197,"Aleksej Pokusevski",2020,1,17,17,Draft,41,"Olympiacos B.C. (Greece)","Other Team/Club"
61437,1630182,"Josh Green",2020,1,18,18,Draft,38,Arizona,College/University
61438,1630180,"Saddiq Bey",2020,1,19,19,Draft,34,Villanova,College/University
61439,1630173,"Precious Achiuwa",2020,1,20,20,Draft,40,Memphis,College/University
61440,1630178,"Tyrese Maxey",2020,1,21,21,Draft,21,Kentucky,College/University
61441,1630192,"Zeke Nnaji",2020,1,22,22,Draft,35,Arizona,College/University
61442,1630195,"Leandro Bolmaro",2020,1,23,23,Draft,6,"FC Barcelona Basquet (Spain)","Other Team/Club"
61443,1630181,"R.J. Hampton",2020,1,24,24,Draft,28,"Breakers (New Zealand)","Other Team/Club"
61444,1630193,"Immanuel Quickley",2020,1,25,25,Draft,27,Kentucky,College/University
61445,1630202,"Payton Pritchard",2020,1,26,26,Draft,1,Oregon,College/University
61446,1628962,"Udoka Azubuike",2020,1,27,27,Draft,33,Kansas,College/University
61447,1630183,"Jaden McDaniels",2020,1,28,28,Draft,15,Washington,College/University
61448,1630201,"Malachi Flynn",2020,1,29,29,Draft,44,"San Diego State",College/University
61449,1630217,"Desmond Bane",2020,1,30,30,Draft,1,"Texas Christian",College/University
61450,1630179,"Tyrell Terry",2020,2,1,31,Draft,38,Stanford,College/University
