game_id,official_id
22100001,201639
22100001,1627541
22100001,1627962
22100002,2882
22100002,200834
22100002,1626300
22100003,1179
22100003,1198
22100003,1627524
22100004,1204
22100004,204059
22100004,1628159
22100005,1162
22100005,2530
22100005,203177
22100006,1662
22100006,200833
22100006,1628951
22100007,1193
22100007,202041
22100007,1627519
22100008,200832
22100008,202027
22100008,1628481
22100009,2004
22100009,202026
22100009,1628487
22100010,1151
22100010,202049
22100010,1628954
22100011,2534
22100011,200834
22100011,1626300
22100012,1201
22100012,1830
22100012,201246
22100013,2882
22100013,202007
22100013,1627963
22100014,1148
22100014,202053
22100014,203592
22100015,2714
22100015,203591
22100015,1627964
22100016,1199
22100016,2534
22100016,203593
22100017,1662
22100017,200833
22100017,1628951
22100018,1155
22100018,1179
22100018,1363
22100019,2715
22100019,204058
22100019,1628159
22100020,1204
22100020,101283
22100020,200832
22100021,2714
22100021,201245
22100021,202027
22100022,1162
22100022,1627962
22100022,1628171
22100023,1151
22100023,2004
22100023,1628487
22100024,2882
22100024,200834
22100024,1627963
22100025,1146
22100025,202007
22100025,203593
22100026,201246
22100026,201638
22100026,202037
22100027,1198
22100027,200832
22100027,1627524
22100028,1193
22100028,202058
22100028,1627519
22100029,201639
22100029,1626302
22100029,1627534
22100030,2003
22100030,200833
22100030,1626300
22100031,2005
22100031,202041
22100031,204058
22100032,2530
22100032,202026
22100032,202053
22100033,1199
22100033,2534
22100033,1628954
22100034,1146
22100034,202007
22100034,202035
22100035,1148
22100035,1204
22100035,1627529
22100036,1662
22100036,202027
22100036,1628951
22100037,1155
22100037,1363
22100037,202049
22100038,1179
22100038,1627962
22100038,1627963
22100039,2002
22100039,201638
22100039,1628954
22100040,1830
22100040,201246
22100040,1627961
22100041,2004
22100041,2005
22100041,202901
22100042,1201
22100042,200834
22100042,202056
22100043,201639
22100043,1626302
22100043,1627964
22100044,1198
22100044,204059
22100044,1626300
22100045,202041
22100045,203592
22100045,1628172
22100046,1193
22100046,202058
22100046,1627529
22100047,2530
22100047,200833
22100047,1627524
22100048,1146
22100048,1199
22100048,202007
22100049,2715
22100049,201638
22100049,1627541
22100050,202035
22100050,202058
22100050,203591
22100051,1155
22100051,201245
22100051,202049
22100052,2882
22100052,203593
22100052,1627519
22100053,101283
22100053,200832
22100053,1627534
22100054,2002
22100054,2714
22100054,1627961
22100055,1198
22100055,201639
22100055,1628487
22100056,1148
22100056,1193
22100056,1201
22100057,2530
22100057,1627962
22100057,1628171
22100058,1830
22100058,2005
22100058,202026
22100059,2003
22100059,101283
22100059,1628172
22100060,2534
22100060,202901
22100060,203592
22100061,1162
22100061,203177
22100061,204058
22100062,2715
22100062,1627529
22100062,1627541
22100063,1179
22100063,202037
22100063,202053
22100065,1155
22100065,1199
22100065,1627534
22100066,1204
22100066,202049
22100066,202056
22100067,2714
22100067,203593
22100067,1627524
22100068,200832
22100068,201245
22100068,203591
22100069,1151
22100069,204059
22100069,1627961
22100070,1662
22100070,200833
22100070,1627964
22100071,1148
22100071,1201
22100071,202035
22100073,1146
22100073,101283
22100073,1626302
22100074,202041
22100074,202901
22100074,203591
22100075,1162
22100075,1363
22100075,202037
22100076,2004
22100076,200833
22100076,1627529
22100077,2715
22100077,1627541
22100077,1628951
22100078,1155
22100078,2534
22100078,1627519
22100079,1830
22100079,203177
22100079,1628171
22100080,200832
22100080,202056
22100080,204058
22100081,1199
22100081,202007
22100081,1628954
22100082,1193
22100082,2530
22100082,1627963
22100083,1198
22100083,202901
22100083,204059
22100084,1204
22100084,201638
22100084,201639
22100085,2005
22100085,202058
22100085,1628172
22100086,1662
22100086,202027
22100086,1627524
22100087,201246
22100087,203593
22100087,1626300
22100088,1151
22100088,1179
22100088,1627964
22100089,2002
22100089,2003
22100089,1628159
22100090,1148
22100090,203592
22100090,1627519
22100091,1162
22100091,1201
22100091,202035
22100092,200834
22100092,202053
22100092,1626302
22100094,2003
22100094,202007
22100094,1628171
