id,first_name,last_name,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey_num,position,is_active,franchise_id,from_year,to_year,is_d_league,is_nba,has_played,is_greatest_75
2544,LeBron,James,1984-12-30,"St. Vincent-St. Mary HS (OH)",USA,"St. Vincent-St. Mary HS (OH)/USA",81,250,20,6,Forward,1,15,2003,2023,0,1,1,1
2617,Udonis,Haslem,1980-06-09,Florida,USA,Florida/USA,79,235,20,40,Forward,1,40,2003,2023,0,1,1,0
101108,Chris,Paul,1985-05-06,"Wake Forest",USA,"Wake Forest/USA",72,175,18,3,Guard,1,24,2005,2023,0,1,1,1
200752,Rudy,Gay,1986-08-17,Connecticut,USA,Connecticut/USA,80,250,17,22,Forward-Guard,1,33,2006,2023,0,1,1,0
200768,Kyle,Lowry,1986-03-25,Villanova,USA,Villanova/USA,72,196,17,7,Guard,1,40,2006,2023,0,1,1,0
200782,P.J.,Tucker,1985-05-05,Texas,USA,Texas/USA,77,245,12,17,Forward,1,21,2006,2023,1,1,1,0
201142,Kevin,Durant,1988-09-29,Texas,USA,Texas/USA,82,240,15,35,Forward,1,29,2007,2023,0,1,1,1
201143,Al,Horford,1986-06-03,Florida,"Dominican Republic","Florida/Dominican Republic",81,240,16,42,Center-Forward,1,1,2007,2023,0,1,1,0
201144,Mike,Conley,1987-10-11,"Ohio State",USA,"Ohio State/USA",73,175,16,10,Guard,1,41,2007,2023,0,1,1,0
201145,Jeff,Green,1986-08-28,Georgetown,USA,Georgetown/USA,80,235,15,32,Forward,1,35,2007,2023,0,1,1,0
201152,Thaddeus,Young,1988-06-21,"Georgia Tech",USA,"Georgia Tech/USA",80,235,16,21,Forward,1,44,2007,2023,0,1,1,0
201567,Kevin,Love,1988-09-07,UCLA,USA,UCLA/USA,80,251,15,0,Forward-Center,1,40,2008,2023,0,1,1,0
201568,Danilo,Gallinari,1988-08-08,"Olimpia Milano",Italy,"Olimpia Milano/Italy",82,236,13,8,Forward,1,24,2008,2023,0,1,1,0
201569,Eric,Gordon,1988-12-25,Indiana,USA,Indiana/USA,75,215,16,10,Guard,0,31,2008,2022,0,1,1,0
201571,D.J.,Augustin,1987-11-10,Texas-Austin,USA,Texas-Austin/USA,71,183,14,4,Guard,1,31,2008,2023,0,1,1,0
201577,Robin,Lopez,1988-04-01,Stanford,USA,Stanford/USA,84,281,15,33,Center,1,30,2008,2023,0,1,1,0
201587,Nicolas,Batum,1988-12-14,"Le Mans",France,"Le Mans/France",80,230,15,33,Guard-Forward,1,31,2008,2023,0,1,1,0
201588,George,Hill,1986-05-04,"Indiana-Purdue Indianapolis",USA,"Indiana-Purdue Indianapolis/USA",76,188,15,7,Guard,1,36,2008,2023,0,1,1,0
201599,DeAndre,Jordan,1988-07-21,"Texas A&M",USA,"Texas A&M/USA",83,265,15,6,Center,1,35,2008,2023,0,1,1,0
201609,Goran,Dragic,1986-05-06,"Union Olimpija",Slovenia,"Union Olimpija/Slovenia",76,190,15,31,Guard,1,28,2008,2023,0,1,1,0
201933,Blake,Griffin,1989-03-16,Oklahoma,USA,Oklahoma/USA,81,250,13,91,Forward,1,1,2009,2023,0,1,1,0
201935,James,Harden,1989-08-26,"Arizona State",USA,"Arizona State/USA",77,220,14,1,Guard,1,21,2009,2023,0,1,1,1
201939,Stephen,Curry,1988-03-14,Davidson,USA,Davidson/USA,74,185,14,30,Guard,1,5,2009,2023,0,1,1,1
201942,DeMar,DeRozan,1989-08-07,"Southern California",USA,"Southern California/USA",78,220,14,11,Guard-Forward,1,25,2009,2023,0,1,1,0
201949,James,Johnson,1987-02-20,"Wake Forest",USA,"Wake Forest/USA",79,240,14,16,Forward,1,36,2009,2023,1,1,1,0
201950,Jrue,Holiday,1990-06-12,UCLA,USA,UCLA/USA,77,205,14,21,Guard,1,28,2009,2023,0,1,1,0
201959,Taj,Gibson,1985-06-24,"Southern California",USA,"Southern California/USA",81,232,14,67,Forward,1,24,2009,2023,0,1,1,0
201976,Patrick,Beverley,1988-07-12,Arkansas,USA,Arkansas/USA,74,180,11,21,Guard,1,25,2012,2023,1,1,1,0
201980,Danny,Green,1987-06-22,"North Carolina",USA,"North Carolina/USA",78,215,14,14,Guard,1,30,2009,2023,1,1,1,0
202066,Garrett,Temple,1986-05-08,"Louisiana State",USA,"Louisiana State/USA",78,195,13,41,Guard-Forward,1,45,2009,2023,1,1,1,0
202083,Wesley,Matthews,1986-10-14,Marquette,USA,Marquette/USA,77,220,14,23,Guard,1,28,2009,2023,0,1,1,0
202322,John,Wall,1990-09-06,Kentucky,USA,Kentucky/USA,75,210,11,NULL,Guard,0,NULL,2010,2022,0,1,1,0
202330,Gordon,Hayward,1990-03-23,Butler,USA,Butler/USA,79,225,13,20,Forward,1,39,2010,2023,0,1,1,0
202681,Kyrie,Irving,1992-03-23,Duke,Australia,Duke/Australia,74,195,12,2,Guard,1,38,2011,2023,0,1,1,0
202684,Tristan,Thompson,1991-03-13,Texas-Austin,Canada,Texas-Austin/Canada,81,254,12,9,Center-Forward,1,15,2011,2023,0,1,1,0
202685,Jonas,Valanciunas,1992-05-06,"Lietuvos rytas Vilnius",Lithuania,"Lietuvos rytas Vilnius/Lithuania",83,265,11,17,Center,1,45,2012,2023,0,1,1,0
202687,Bismack,Biyombo,1992-08-28,"Baloncesto Fuenlabrada",DRC,"Baloncesto Fuenlabrada/DRC",80,255,12,18,Center,1,29,2011,2023,0,1,1,0
202689,Kemba,Walker,1990-05-08,Connecticut,USA,Connecticut/USA,72,184,12,NULL,Guard,0,NULL,2011,2022,0,1,1,0
202691,Klay,Thompson,1990-02-08,"Washington State",USA,"Washington State/USA",78,220,10,11,Guard,1,5,2011,2023,0,1,1,0
202692,Alec,Burks,1991-07-20,Colorado,USA,Colorado/USA,78,214,12,5,Guard,1,13,2011,2023,1,1,1,0
202693,Markieff,Morris,1989-09-02,Kansas,USA,Kansas/USA,81,245,12,13,Forward,1,38,2011,2023,0,1,1,0
202695,Kawhi,Leonard,1991-06-29,"San Diego State",USA,"San Diego State/USA",79,225,11,2,Forward,1,31,2011,2023,0,1,1,1
202696,Nikola,Vucevic,1990-10-24,"Southern California",Montenegro,"Southern California/Montenegro",82,260,12,9,Center,1,25,2011,2023,0,1,1,0
202699,Tobias,Harris,1992-07-15,Tennessee,USA,Tennessee/USA,79,226,12,12,Forward,1,21,2011,2023,0,1,1,0
202704,Reggie,Jackson,1990-04-16,"Boston College",USA,"Boston College/USA",74,208,12,7,Guard,1,35,2011,2023,1,1,1,0
202709,Cory,Joseph,1991-08-20,Texas,Canada,Texas/Canada,75,200,12,18,Guard,1,13,2011,2023,1,1,1,0
202710,Jimmy,Butler,1989-09-14,Marquette,USA,Marquette/USA,79,230,12,22,Forward,1,40,2011,2023,0,1,1,0
202711,Bojan,Bogdanovic,1989-04-18,Fenerbahce,Croatia,Fenerbahce/Croatia,79,226,9,44,Forward,1,13,2014,2023,0,1,1,0
202722,Davis,Bertans,1992-11-12,Baskonia,Latvia,Baskonia/Latvia,82,225,7,44,Forward,1,38,2016,2023,1,1,1,0
203076,Anthony,Davis,1993-03-11,Kentucky,USA,Kentucky/USA,82,253,11,3,Forward-Center,1,15,2012,2023,0,1,1,1
203078,Bradley,Beal,1993-06-28,Florida,USA,Florida/USA,76,207,11,3,Guard,1,29,2012,2023,0,1,1,0
203081,Damian,Lillard,1990-07-15,"Weber State",USA,"Weber State/USA",74,195,11,0,Guard,1,32,2012,2023,0,1,1,1
