game_id,team_id,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,pts_paint,pts_2nd_chance,pts_fb,largest_lead,team_turnovers,total_turnovers,team_rebounds,pts_off_to,is_home
22100001,38,48,105,17,45,14,18,13,41,54,25,8,9,8,19,127,23,34,6,15,2,1,13,12,22,1
22100001,88,37,84,17,32,13,23,5,39,44,19,3,9,13,17,104,-23,42,16,21,23,1,8,8,2,0
22100002,30,45,95,15,42,9,19,5,40,45,21,7,4,18,25,114,-7,46,10,10,12,0,17,9,19,1
22100002,44,41,93,14,39,25,30,9,41,50,30,9,2,17,18,121,7,34,6,20,10,1,18,13,20,0
22100003,50,42,90,17,47,21,24,8,43,51,29,2,10,17,24,122,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
22100003,59,46,107,13,31,18,27,12,34,46,29,9,5,8,21,123,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
22100004,27,36,90,6,28,10,13,11,36,47,17,7,5,17,16,88,-6,52,8,6,9,1,17,5,22,1
22100004,34,37,86,7,23,13,15,9,39,48,18,8,5,17,19,94,6,46,14,15,8,0,17,8,15,0
22100005,8,48,117,21,57,17,23,15,41,56,34,13,9,18,24,134,-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
22100005,10,51,105,17,45,19,27,7,48,55,27,9,10,19,22,138,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
22100006,63,30,97,7,34,16,22,19,35,54,14,10,4,19,21,83,-15,56,11,8,29,1,22,11,17,1
22100006,65,36,81,5,27,21,26,7,44,51,20,14,8,22,17,98,15,40,11,18,5,0,19,7,18,0
22100007,43,47,93,14,38,13,18,7,29,36,38,6,5,11,17,121,-11,70,13,22,16,2,12,4,12,0
22100007,66,53,100,14,33,12,12,13,40,53,28,8,8,12,15,132,11,54,7,23,4,1,11,5,17,1
22100008,41,40,88,11,33,15,22,12,29,41,21,13,3,24,25,106,-18,58,17,13,4,0,24,13,38,0
22100008,62,42,87,16,38,24,31,13,33,46,26,18,12,18,22,124,18,50,15,31,35,0,18,7,21,1
22100009,33,44,85,13,25,16,20,6,41,47,24,9,5,13,11,117,20,50,6,29,27,1,13,5,9,0
22100009,89,39,93,13,30,6,9,10,34,44,28,5,6,14,16,97,-20,36,2,25,3,1,14,6,18,1
22100010,49,49,98,13,30,12,18,13,30,43,32,8,3,8,22,123,26,50,20,6,7,0,16,9,21,1
22100010,61,35,86,9,29,18,23,13,31,44,17,6,6,16,20,97,-26,58,19,26,28,0,8,15,7,0
22100011,54,40,91,14,47,13,15,12,41,53,18,6,5,10,19,107,21,46,11,10,2,1,15,8,13,1
22100011,81,34,91,7,35,11,18,15,35,50,19,4,2,15,15,86,-21,50,15,0,26,0,10,6,13,0
22100012,39,36,87,14,37,12,17,11,34,45,23,9,3,18,18,98,-12,42,13,18,15,2,19,3,22,1
22100012,56,44,83,17,39,5,9,6,40,46,25,9,1,19,20,110,12,34,11,10,16,0,18,5,27,0
22100013,42,45,93,12,35,19,22,9,40,49,25,5,5,13,22,121,-3,46,12,20,18,0,10,7,9,1
22100013,58,42,92,17,41,23,29,7,36,43,24,6,4,10,22,124,3,58,11,2,3,1,13,8,18,0
22100014,37,45,94,15,35,8,9,6,49,55,31,8,9,13,16,113,26,46,8,11,30,0,13,4,14,1
22100014,55,31,93,13,43,12,13,10,40,50,16,7,3,15,21,87,-26,26,2,7,8,0,15,4,9,0
22100015,38,32,84,12,42,19,29,5,33,38,19,6,0,15,26,95,-42,60,15,22,42,0,11,11,5,0
22100015,60,51,96,15,35,20,31,11,47,58,28,8,2,11,26,137,42,38,3,2,0,0,15,11,21,1
22100016,44,43,83,15,31,14,22,10,43,53,27,5,4,21,20,115,2,48,7,20,9,0,7,7,6,1
22100016,91,42,96,14,40,15,21,8,31,39,24,9,2,7,25,113,-2,50,7,25,18,0,21,9,18,0
22100017,43,43,84,9,31,17,20,7,29,36,26,9,3,19,15,112,-11,52,6,8,11,1,19,4,34,1
22100017,59,48,91,13,32,14,17,11,35,46,32,13,1,18,16,123,11,58,16,14,18,0,18,4,23,0
22100018,10,44,88,24,54,9,17,6,32,38,34,10,4,11,19,121,25,32,9,24,34,0,11,13,11,0
22100018,61,33,83,17,43,13,15,9,37,46,24,5,3,19,18,96,-25,32,9,13,3,1,19,7,22,1
22100019,50,52,97,15,34,15,20,7,35,42,28,5,6,12,22,134,-1,48,2,3,12,0,9,6,10,0
22100019,65,49,94,19,38,18,19,6,32,38,24,5,6,9,21,135,1,62,16,5,9,0,12,10,26,1
22100020,8,32,82,11,34,8,11,10,32,42,19,6,12,25,19,83,-32,58,23,22,36,1,12,3,9,1
22100020,63,42,100,10,35,21,21,21,39,60,22,16,2,12,13,115,32,32,4,9,8,0,25,6,27,0
22100021,33,43,91,14,36,9,11,5,30,35,17,8,9,10,21,109,-5,40,15,12,5,1,13,11,19,1
22100021,88,41,88,12,38,20,24,11,36,47,26,6,6,13,16,114,5,40,8,19,14,2,10,8,8,0
22100022,34,47,89,14,28,20,25,11,35,46,32,9,7,14,14,128,16,54,18,24,30,0,14,5,21,1
22100022,89,42,87,15,29,13,16,9,33,42,26,7,5,17,20,112,-16,44,10,16,0,1,17,2,27,0
22100023,41,48,95,17,38,11,14,10,44,54,29,12,10,17,18,124,33,58,21,17,35,0,17,10,14,1
22100023,81,34,91,14,43,9,16,8,31,39,22,9,4,19,21,91,-33,34,11,13,0,0,19,11,21,0
22100024,49,40,84,6,24,10,14,7,32,39,24,11,2,20,17,96,-6,54,9,7,4,0,20,8,10,0
22100024,56,44,86,9,30,5,8,8,33,41,26,10,2,21,21,102,6,58,6,17,11,0,21,5,20,1
22100025,30,34,86,15,34,22,29,12,34,46,25,7,3,16,26,105,-10,26,11,5,7,0,16,8,15,1
22100025,39,42,86,10,32,21,28,7,40,47,31,8,2,12,22,115,10,52,5,5,32,1,12,9,19,0
22100026,54,37,90,16,42,20,23,13,38,51,16,14,3,19,17,110,9,40,21,14,11,2,19,9,23,0
22100026,58,39,99,8,36,15,21,16,36,52,20,15,5,15,22,101,-9,54,13,18,9,0,15,10,20,1
22100027,37,38,99,10,34,9,15,17,37,54,20,5,3,9,23,95,-6,42,15,7,13,0,9,11,10,0
22100027,43,37,89,7,28,20,27,12,42,54,23,6,6,10,16,101,6,54,19,4,14,0,10,7,12,1
22100028,50,38,97,10,39,16,21,14,41,55,18,10,5,16,18,102,11,36,10,10,6,0,22,6,17,1
22100028,60,35,91,9,33,12,14,10,45,55,18,4,2,22,25,91,-11,50,13,18,12,0,16,6,18,0
22100029,55,38,91,14,42,13,18,13,37,50,24,6,6,9,22,103,8,36,9,12,14,0,12,11,15,0
22100029,63,34,85,11,37,16,23,11,38,49,17,7,6,12,23,95,-8,40,11,9,16,0,9,6,3,1
22100030,27,34,88,5,28,9,15,11,42,53,14,9,8,23,17,82,-15,54,19,15,9,3,23,10,23,0
22100030,34,35,84,11,26,16,19,3,39,42,24,13,11,13,17,97,15,34,7,12,31,1,13,7,20,1
22100031,62,39,96,12,38,6,10,13,34,47,22,13,8,20,25,96,7,50,10,21,17,1,20,8,21,1
22100031,89,31,89,9,40,18,23,21,40,61,15,10,5,30,22,89,-7,36,22,7,4,2,30,8,25,0
22100032,38,44,83,15,35,18,22,7,37,44,21,6,5,22,15,121,10,38,6,8,13,2,22,8,24,0
22100032,49,48,99,10,39,5,6,10,28,38,29,10,4,13,18,111,-10,54,14,7,7,1,13,5,18,1
22100033,39,43,89,9,28,10,15,7,31,38,27,6,1,14,19,105,-29,56,11,6,1,0,14,7,15,0
22100033,42,51,94,21,50,11,17,8,40,48,24,8,5,9,15,134,29,50,15,21,37,0,9,7,11,1
22100034,66,42,90,15,36,21,25,13,35,48,26,5,3,11,19,120,6,46,13,11,13,0,7,7,15,0
22100034,91,43,99,13,39,15,17,14,30,44,23,7,4,7,21,114,-6,50,19,15,16,0,11,11,14,1
22100035,59,43,94,10,30,15,19,10,38,48,26,10,5,12,17,111,16,56,10,19,16,0,12,9,13,0
22100035,88,38,87,9,35,10,12,9,35,44,18,10,8,17,19,95,-16,42,6,12,10,0,17,5,29,1
22100036,10,37,100,13,48,17,25,16,36,52,20,8,8,12,21,104,-6,46,14,8,13,0,12,12,16,1
22100036,61,36,88,12,43,26,34,10,47,57,22,7,4,13,25,110,6,40,17,12,10,0,13,10,11,0
22100037,8,38,86,15,47,16,20,6,37,43,22,10,6,12,22,107,10,38,3,12,20,1,12,8,12,0
22100037,41,32,75,14,32,19,24,5,35,40,20,7,4,20,20,97,-10,32,6,13,9,2,20,9,28,1
22100038,33,41,88,17,41,16,20,12,35,47,25,4,9,12,17,115,12,38,10,0,18,0,12,5,14,0
22100038,81,40,84,8,31,15,19,6,36,42,24,9,4,11,17,103,-12,54,10,6,0,0,11,5,10,1
22100039,44,43,97,13,37,20,24,14,29,43,26,12,3,7,13,119,12,50,15,16,12,1,7,10,9,0
22100039,58,42,86,15,46,8,13,10,37,47,26,0,4,19,16,107,-12,48,7,17,8,0,19,7,29,1
22100040,30,45,84,16,30,15,22,9,27,36,29,10,12,17,14,121,3,62,32,11,10,0,17,8,20,1
22100040,66,45,100,13,35,15,18,18,31,49,25,13,4,17,20,118,-3,52,9,15,12,0,17,11,20,0
22100041,8,50,101,19,50,21,25,11,42,53,33,8,9,12,23,140,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
22100041,59,46,103,19,44,18,28,14,38,52,26,4,6,14,25,129,-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
22100042,38,41,85,11,32,26,31,7,35,42,24,13,6,14,19,119,10,58,10,24,18,1,14,4,6,0
22100042,50,40,90,14,36,15,17,12,35,47,23,6,1,19,24,109,-10,34,6,6,5,0,19,8,22,1
22100043,27,40,91,9,33,15,18,11,25,36,26,7,6,14,15,104,-18,54,14,6,2,0,14,7,22,0
22100043,37,46,90,12,32,18,21,10,39,49,24,11,3,16,19,122,18,52,13,12,23,3,16,9,18,1
22100044,65,33,95,9,39,15,20,10,43,53,16,5,5,12,17,90,-14,48,10,11,25,0,9,5,11,0
22100044,88,40,94,10,35,14,17,7,47,54,23,6,4,9,19,104,14,40,13,16,2,0,12,12,21,1
22100045,60,41,87,6,27,19,19,9,33,42,28,10,2,11,19,107,17,40,5,10,3,2,18,14,20,1
22100045,61,33,81,12,44,12,19,6,33,39,21,7,6,18,22,90,-17,50,16,21,22,1,11,6,6,0
22100046,34,39,81,12,27,21,22,5,24,29,24,11,3,13,16,111,3,48,9,18,5,2,21,10,27,0
22100046,63,40,83,12,30,16,20,13,34,47,27,8,1,21,18,108,-3,34,10,13,20,0,13,4,12,1
22100047,62,31,90,15,50,21,27,11,30,41,20,10,7,11,19,98,-9,30,19,14,3,0,11,9,12,1
22100047,89,39,87,10,30,19,23,15,45,60,19,5,5,20,20,107,9,40,16,3,21,3,20,7,23,0
22100048,43,38,82,7,25,16,20,11,38,49,26,8,5,16,18,99,12,46,7,18,1,1,22,6,32,0
22100048,56,35,86,9,38,8,12,11,36,47,21,10,3,22,22,87,-12,56,12,8,17,2,16,1,16,1
22100049,42,32,85,8,37,14,18,7,40,47,15,11,4,30,18,86,-30,50,6,14,35,0,17,12,12,0
22100049,91,44,93,14,43,14,19,5,38,43,37,21,6,17,23,116,30,40,6,8,3,0,30,9,29,1
22100050,10,41,87,16,37,14,15,13,32,45,24,7,5,15,18,112,13,40,19,5,27,3,15,5,7,1
22100050,33,36,82,12,41,15,17,12,28,40,24,9,4,15,14,99,-13,40,14,9,6,1,15,5,19,0
22100051,44,39,83,14,40,14,18,7,39,46,30,9,8,15,20,106,8,44,8,4,10,0,15,7,18,0
22100051,81,36,86,12,34,14,17,9,33,42,19,7,3,14,18,98,-8,42,9,4,15,1,14,6,16,1
22100052,41,36,86,16,39,18,26,11,38,49,24,7,3,17,21,106,-10,40,9,16,12,1,15,10,15,0
22100052,55,43,93,12,43,18,25,14,36,50,25,9,7,15,22,116,10,38,8,16,8,0,17,6,20,1
22100053,30,50,105,8,30,17,22,9,47,56,20,8,10,13,21,125,4,72,12,16,8,0,13,10,17,0
22100053,49,48,108,13,36,12,22,16,43,59,33,10,6,16,22,121,-4,64,15,29,12,1,16,5,14,1
22100054,54,44,85,12,39,22,29,8,33,41,20,5,6,14,22,122,12,60,12,10,15,1,14,11,10,1
22100054,56,42,83,10,28,16,24,5,30,35,19,9,3,13,23,110,-12,52,7,7,4,0,13,10,15,0
22100055,59,43,83,14,30,20,24,10,30,40,22,14,4,17,14,120,9,42,12,10,9,1,17,7,24,0
22100055,61,43,88,15,40,10,13,8,25,33,22,6,2,19,21,111,-9,48,19,2,12,1,19,12,23,1
22100056,8,37,85,10,29,23,28,10,27,37,18,9,5,13,21,107,-9,50,14,6,6,0,13,7,18,1
22100056,65,43,84,9,25,21,29,11,36,47,18,8,7,16,20,116,9,58,13,11,15,1,16,11,20,0
22100057,60,38,96,8,29,22,26,17,45,62,21,6,2,15,19,106,13,48,31,18,15,1,15,8,19,0
22100057,88,33,85,14,43,13,14,4,38,42,21,7,7,16,24,93,-13,34,4,17,8,1,16,3,25,1
22100058,50,38,79,10,29,14,17,9,31,40,19,6,7,23,19,100,-18,40,21,7,3,1,23,10,31,0
22100058,63,46,100,14,30,12,19,16,25,41,22,18,6,12,20,118,18,58,33,10,23,2,12,14,13,1
22100059,37,40,96,8,30,14,17,21,34,55,21,4,4,11,14,102,3,52,19,14,7,0,11,7,13,0
22100059,89,40,93,11,36,8,9,9,35,44,24,5,6,10,19,99,-3,48,12,12,16,1,10,7,12,1
22100060,38,39,95,14,51,16,21,13,30,43,22,10,3,9,18,108,-5,38,13,18,0,1,9,9,8,1
22100060,62,43,91,13,45,14,17,10,39,49,29,5,4,17,20,113,5,44,24,10,20,0,17,11,16,0
22100061,30,46,92,11,35,12,14,10,30,40,29,8,2,17,22,115,-8,54,13,7,26,0,17,6,27,0
22100061,81,43,86,15,37,22,29,10,32,42,21,8,3,16,16,123,8,54,7,4,8,1,16,10,14,1
22100062,39,42,93,6,22,17,24,14,42,56,23,6,6,11,16,107,-3,42,12,14,13,1,12,9,8,1
22100062,58,42,95,15,38,11,15,8,32,40,28,7,6,12,20,110,3,60,16,17,12,0,11,10,12,0
22100063,42,39,84,15,36,23,31,13,35,48,22,11,6,14,20,116,20,44,20,13,26,1,14,8,15,1
22100063,66,35,96,17,50,9,19,21,29,50,27,9,3,22,25,96,-20,30,16,7,8,1,22,18,30,0
22100064,43,33,81,3,20,23,27,14,43,57,12,9,3,21,14,92,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
22100064,91,31,87,9,41,8,13,9,27,36,19,13,2,14,24,79,-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
22100065,27,35,86,13,39,19,27,10,27,37,22,11,4,14,22,102,-8,42,7,20,22,1,21,6,21,0
22100065,33,38,76,12,27,22,24,6,40,46,22,7,9,21,23,110,8,42,15,12,5,2,14,10,20,1
22100066,37,48,88,6,21,9,14,6,37,43,26,4,3,13,16,111,-11,60,17,0,20,3,9,6,10,0
22100066,65,46,99,13,34,17,21,14,37,51,26,6,4,9,16,122,11,68,12,8,6,0,13,2,11,1
22100067,10,39,85,11,29,15,20,11,38,49,16,5,7,13,21,104,1,40,4,8,4,0,7,7,10,0
22100067,34,36,84,11,32,20,22,5,32,37,25,6,5,7,18,103,-1,50,14,13,13,0,13,8,12,1
22100068,41,31,95,9,44,20,23,13,28,41,15,8,3,11,24,91,-31,40,20,16,2,0,11,3,14,1
22100068,54,41,85,16,46,24,30,10,48,58,24,8,4,20,23,122,31,46,23,14,36,4,20,15,20,0
22100069,49,39,88,12,30,9,15,11,37,48,21,6,11,15,16,99,-5,40,11,4,11,1,13,12,13,0
22100069,55,41,89,18,45,4,13,9,36,45,18,4,7,13,19,104,5,42,19,5,20,1,15,7,20,1
22100070,44,39,90,14,40,9,12,7,41,48,29,8,7,23,17,101,-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
22100070,66,39,97,12,48,14,14,10,41,51,25,17,9,18,14,104,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
22100071,61,41,87,16,34,11,16,12,34,46,24,1,5,17,24,109,-1,34,17,5,7,0,17,8,22,0
22100071,63,43,86,9,30,15,22,9,31,40,18,11,2,8,18,110,1,38,16,13,12,1,8,7,14,1
22100072,50,37,93,8,29,16,23,11,35,46,20,9,7,14,27,98,-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
22100072,88,34,76,6,26,31,41,10,40,50,20,9,6,18,21,105,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
22100073,59,35,90,13,37,16,22,11,26,37,21,8,6,11,17,99,-15,40,13,9,5,0,11,6,11,0
22100073,60,43,91,9,35,19,19,16,44,60,23,6,3,18,20,114,15,54,22,9,26,1,18,6,15,1
22100074,58,40,80,9,27,24,25,3,42,45,19,4,5,14,20,113,4,50,7,8,13,0,14,4,21,0
22100074,89,42,98,9,34,16,25,13,36,49,18,9,6,10,22,109,-4,54,17,13,3,0,10,8,14,1
22100075,55,23,78,8,37,21,27,6,30,36,14,8,3,15,17,75,-31,50,8,15,35,1,20,11,20,0
