id,name,franchise_id
1,"Toronto Huskies",10
2,"St. Louis Bombers",9
3,"Providence Steamrollers",8
4,"Chicago Stags",2
5,"Detroit Falcons",4
6,"Cleveland Rebels",3
7,"Pittsburgh Ironmen",7
8,"Boston Celtics",1
9,"Philadelphia Warriors",5
10,"New York Knicks",6
11,"Washington Capitols",11
12,"Baltimore Bullets",12
13,"Indianapolis Jets",14
14,"Ft. Wayne Zollner Pistons",13
15,"Rochester Royals",16
16,"Minneapolis Lakers",15
17,"Tri-Cities Blackhawks",18
18,"Indianapolis Olympians",20
19,"Waterloo Hawks",23
20,"Anderson Packers",17
21,"Sheboygan Redskins",22
22,"Syracuse Nationals",21
23,"Denver Nuggets",19
24,"East NBA All Stars East",NULL
25,"Milwaukee Hawks",18
26,"St. Louis Hawks",18
27,"Detroit Pistons",13
28,"Cincinnati Royals",16
29,"West NBA All Stars West",NULL
30,"Los Angeles Lakers",15
31,"Chicago Zephyrs",24
32,"San Francisco Warriors",5
33,"Philadelphia 76ers",21
34,"Chicago Bulls",25
35,"San Diego Rockets",26
36,"Seattle SuperSonics",27
37,"Atlanta Hawks",18
38,"Milwaukee Bucks",28
39,"Phoenix Suns",29
40,"Buffalo Braves",31
41,"Houston Rockets",26
42,"Portland Trail Blazers",32
43,"Cleveland Cavaliers",30
44,"Golden State Warriors",5
45,"Kansas City-Omaha Kings",16
46,"Capital Bullets",24
47,"Washington Bullets",24
48,"New Orleans Jazz",33
49,"San Antonio Spurs",37
50,"Indiana Pacers",36
51,"New Jersey Nets",34
52,"Kansas City Kings",16
53,"San Diego Clippers",31
54,"Utah Jazz",33
55,"Dallas Mavericks",38
56,"Denver Nuggets",35
57,"Los Angeles Clippers",30
58,"Sacramento Kings",16
59,"Charlotte Hornets",39
60,"Miami Heat",40
61,"Orlando Magic",42
62,"Minnesota Timberwolves",41
63,"Toronto Raptors",44
64,"Vancouver Grizzlies",43
65,"Washington Wizards",24
66,"Memphis Grizzlies",43
67,"New Orleans Hornets",45
68,"Charlotte Bobcats",39
69,"New Orleans/Oklahoma City Hornets",45
70,"Lyon-Villeurbanne Adecco ASVEL",NULL
71,"Barcelona Winterthur FC",NULL
72,"Roma Virtus Lottomatica",NULL
73,"Khimki BC",NULL
74,"Tel Aviv Maccabi Elite",NULL
75,"Istanbul Efes Pilsen",NULL
76,"Lottomatica Lottomatica Roma",NULL
77,"Unicaja Malaga Unicaja Malaga",NULL
78,"MMT Estudiantes MMT Estudiantes",NULL
79,"Real Madrid Real Madrid",NULL
80,"China Team China",NULL
81,"Oklahoma City Thunder",27
82,"Barcelona Regal FC",NULL
83,"Milano Armani Jeans Milano",NULL
84,"Istanbul Fenerbahce Ulker",NULL
85,"Berlin Alba Berlin",NULL
86,"Milano EA7 Emporio Armani Milano",NULL
87,"Barcelona FC Barcelona Regal",NULL
88,"Brooklyn Nets",34
89,"New Orleans Pelicans",45
90,"Bilbao Basket",NULL
91,"LA Clippers",31
92,"Milano Olimpia Milano",NULL
93,"Madrid Real Madrid",NULL
94,"Flamengo Flamengo",NULL
95,"Barcelona FC Barcelona Lassa",NULL
96,"Team Stephen",NULL
97,"Team Giannis",NULL
98,"Team Durant",NULL
99,"Team LeBron",NULL
100,"Moscow CSKA",NULL
101,"Panathinaikos Panathinaikos",NULL
102,"Zalgiris Kaunas Zalgiris Kaunas",NULL
103,"Vilnius Lietuvos Rytas",NULL
104,"Belegrade Partizan",NULL
105,"Athens Olympiacos",NULL
106,"Haifa Maccabi Haifa",NULL
107,"Vitoria Caja Laboral",NULL
108,"Siena Montepaschi Siena",NULL
109,"Tel Aviv Maccabi Electra",NULL
110,"Istanbul Fenerbahce Sports Club",NULL
111,"Bauru Paschoalotto/Bauru",NULL
112,"Shanghai Shanghai Sharks",NULL
113,"Buenos Aires San Lorenzo",NULL
114,"Guangzhou Long-Lions",NULL
115,"Sydney Kings",NULL
116,"Shanghai Sharks",NULL
117,"Melbourne United",NULL
118,"Brisbane Bullets",NULL
119,"Ra'anana Maccabi Ra'anana",NULL
120,"Adelaide 36ers",NULL
