id,abbreviation,nickname,city,state,arena,arena_capacity,owner,general_manager,head_coach,d_league_affiliation
1,BOS,Celtics,Boston,MA,TD Garden,19580,Bill Chisholm,Brad Stevens,Joe Mazzulla,Maine Celtics
5,GSW,Warriors,San Francisco,CA,Chase Center,18064,Joe Lacob,Bob Myers,Steve Kerr,Santa Cruz Warriors
6,NYK,Knicks,New York,NY,Madison Square Garden,19500,James Dolan,Scott Perry,Tom Thibodeau,Westchester Knicks
13,DET,Pistons,Detroit,MI,Little Caesars Arena,20332,Tom Gores,Ed Stefanski,Monty Williams,Motor City Cruise
15,LAL,Lakers,Los Angeles,CA,Crypto.com Arena,19060,Jeanie Buss,Rob Pelinka,Darvin Ham,South Bay Lakers
16,SAC,Kings,Sacramento,CA,Golden 1 Center,17607,Vivek Ranadive,Monte McNair,Doug Christie,Stockton Kings
18,ATL,Hawks,Atlanta,GA,State Farm Arena,18729,Tony Ressler,Travis Schlenk,Quin Snyder,College Park Skyhawks
21,PHI,76ers,Philadelphia,PA,Wells Fargo Center,21000,Joshua Harris & David Blitzer,Elton Brand,Nick Nurse,Delaware Blue Coats
25,CHI,Bulls,Chicago,IL,United Center,21711,Michael Reinsdorf,Artūras Karnišovas,Billy Donovan,Windy City Bulls
27,OKC,Thunder,Oklahoma City,OK,Paycom Center,18203,Clay Bennett,Sam Presti,Mark Daigneault,Oklahoma City Blue
28,MIL,Bucks,Milwaukee,WI,Fiserv Forum,17500,Wesley Edens & Marc Lasry,Jon Horst,Adrian Griffin,Wisconsin Herd
30,CLE,Cavaliers,Cleveland,OH,Rocket Mortgage FieldHouse,19432,Dan Gilbert,Mike Gansey,J.B. Bickerstaff,Cleveland Charge
31,HOU,Rockets,Houston,TX,Toyota Center,18104,Tilman Fertitta,Rafael Stone,Ime Udoka,Rio Grande Valley Vipers
32,LAC,Clippers,Los Angeles,CA,Intuit Dome,18000,Steve Ballmer,Trent Redden,Tyronn Lue,
34,POR,Trail Blazers,Portland,OR,Moda Center,19980,Jody Allen,Joe Cronin,Chauncey Billups,
35,UTA,Jazz,Salt Lake City,UT,Delta Center,20000,Ryan Smith,Justin Zanik,Will Hardy,Salt Lake City Stars
36,BKN,Nets,Brooklyn,NY,Barclays Center,19000,Joe Tsai,Sean Marks,Jacque Vaughn,Long Island Nets
37,DEN,Nuggets,Denver,CO,Ball Arena,21000,Stan Kroenke,Calvin Booth,Michael Malone,Grand Rapids Gold
38,IND,Pacers,Indianapolis,IN,Gainbridge Fieldhouse,18345,Herb Simon,Kevin Pritchard,Rick Carlisle,Indiana Mad Ants
39,SAS,Spurs,San Antonio,TX,AT&T Center,18694,Peter Holt,Brian Wright,Gregg Popovich,Austin Spurs
40,DAL,Mavericks,Dallas,TX,American Airlines Center,19200,Mark Cuban,Nico Harrison,Jason Kidd,Texas Legends
41,CHA,Hornets,Charlotte,NC,Spectrum Center,19026,Michael Jordan,Mitch Kupchak,Steve Clifford,Greensboro Swarm
42,MIA,Heat,Miami,FL,Kaseya Center,19600,Micky Arison,Pat Riley,Erik Spoelstra,Sioux Falls Skyforce
43,MIN,Timberwolves,Minneapolis,MN,Target Center,19356,Glen Taylor,Tim Connelly,Chris Finch,Iowa Wolves
44,ORL,Magic,Orlando,FL,Kia Center,20000,Dan DeVos,Anthony Parker,Jamahl Mosley,Osceola Magic
45,MEM,Grizzlies,Memphis,TN,FedExForum,18119,Robert Pera,Zach Kleiman,Taylor Jenkins,Memphis Hustle
