id,name,franchise_id
1,Toronto Huskies,10
5,Detroit Falcons,4
6,Cleveland Rebels,3
13,Indianapolis Jets,14
15,Rochester Royals,16
16,Minneapolis Lakers,15
18,Indianapolis Olympians,20
21,Sheboygan Redskins,22
25,Milwaukee Hawks,18
27,Detroit Pistons,13
28,Cincinnati Royals,16
30,Los Angeles Lakers,15
31,Chicago Zephyrs,24
32,San Francisco Warriors,5
33,Philadelphia 76ers,21
34,Chicago Bulls,25
35,San Diego Rockets,26
36,Seattle SuperSonics,27
37,Atlanta Hawks,18
38,Milwaukee Bucks,28
39,Phoenix Suns,29
40,Buffalo Braves,31
41,Houston Rockets,26
42,Portland Trail Blazers,32
43,Cleveland Cavaliers,30
44,Golden State Warriors,5
45,Kansas City-Omaha Kings,16
